"ID","NAMES","total_AsTheCowRolls_POT_0"
"78397","Le Mesnil-Saint-Denis",2933
"78398","Les Mesnuls",374
"78401","Meulan-en-Yvelines",4522
"78402","Mezieres-sur-Seine",1923
"78403","Mezy-sur-Seine",919
"78404","Millemont",91
"78406","Milon-la-Chapelle",149
"78407","Mittainville",245
"78410","Moisson",420
"78413","Mondreville",229
"78415","Montainville",278
"78416","Montalet-le-Bois",181
"78417","Montchauvet",131
"78418","Montesson",7677
"78420","Montfort-l'Amaury",1367
"78423","Montigny-le-Bretonneux",19339
"78431","Morainvilliers",1225
"78437","Mousseaux-sur-Seine",312
"78439","Mulcent",60
"78440","Les Mureaux",13760
"78442","Neauphle-le-Chateau",1580
"78443","Neauphle-le-Vieux",411
"78444","Neauphlette",448
"78451","Nezel",547
"78455","Noisy-le-Roi",3373
"78460","Oinville-sur-Montcient",589
"78464","Orcemont",388
"78465","Orgerus",1134
"78466","Orgeval",2530
"78470","Orphin",492
"78472","Orsonville",152
"78474","Orvilliers",344
"78475","Osmoy",164
"78478","Paray-Douaville",128
"78481","Le Pecq",8055
"78484","Perdreauville",281
"78486","Le Perray-en-Yvelines",3320
"78490","Plaisir",16060
"78497","Poigny-la-Foret",494
"78498","Poissy",18839
"78499","Ponthevrard",304
"78501","Porcheville",1403
"78502","Le Port-Marly",2803
"78503","Port-Villez",120
"78505","Prunay-le-Temple",196
"78506","Prunay-en-Yvelines",420
"78513","La Queue-les-Yvelines",961
"78516","Raizeux",395
"78517","Rambouillet",12539
"78518","Rennemoulin",72
"78520","Richebourg",720
"78522","Rochefort-en-Yvelines",475
"78524","Rocquencourt",1397
"78528","Rolleboise",196
"78530","Rosay",196
"78531","Rosny-sur-Seine",2648
"78536","Sailly",185
"78537","Saint-Arnoult-en-Yvelines",2979
"78545","Saint-Cyr-l'Ecole",8979
"78548","Saint-Forget",227
"78550","Saint-Germain-de-la-Grange",884
"78551","Saint-Germain-en-Laye",19559
"78557","Saint-Hilarion",425
"78558","Saint-Illiers-la-Ville",180
"78559","Saint-Illiers-le-Bois",236
"78561","Saint-Lambert",248
"78562","Saint-Leger-en-Yvelines",715
"78564","Saint-Martin-de-Brethencourt",340
"78565","Saint-Martin-des-Champs",120
"78567","Saint-Martin-la-Garenne",501
"78569","Sainte-Mesme",422
"78571","Saint-Nom-la-Breteche",2141
"78575","Saint-Remy-les-Chevreuse",3542
"78576","Saint-Remy-l'Honore",604
"78586","Sartrouville",25978
"78588","Saulx-Marchais",532
"78590","Senlisse",223
"78591","Septeuil",964
"78597","Soindres",343
"78601","Sonchamp",822
"78605","Tacoignieres",500
"78606","Le Tartre-Gaudran",12
"78608","Le Tertre-Saint-Denis",64
"78609","Tessancourt-sur-Aubette",512
"78615","Thiverval-Grignon",430
"78616","Thoiry",572
"78618","Tilly",272
"78620","Toussus-le-Noble",562
"78621","Trappes",13979
"78623","Le Tremblay-sur-Mauldre",550
"78624","Triel-sur-Seine",5771
"78638","Vaux-sur-Seine",2463
"78640","Velizy-Villacoublay",10843
"78642","Verneuil-sur-Seine",7837
"78643","Vernouillet",4368
"78644","La Verriere",2875
"78646","Versailles",39739
"78647","Vert",388
"78650","Le Vesinet",6854
