"ID","NAMES","intermediaires_AsTheCowRolls_ACC_0.005"
"77330","Nanteuil-les-Meaux",8.40466203926801
"77331","Nanteuil-sur-Marne",20.4845519076125
"77332","Nantouillet",10.5911699612786
"77333","Nemours",14.1192401531645
"77335","Chauconin-Neufmontiers",8.50108527360861
"77336","Neufmoutiers-en-Brie",11.4784236943391
"77337","Noisiel",2.1702606184764
"77338","Noisy-Rudignon",15.9881519179867
"77339","Noisy-sur-Ecole",15.6876209519911
"77340","Nonville",15.887862203815
"77341","Noyen-sur-Seine",26.5443953965817
"77342","Obsonville",22.9029844643177
"77343","Ocquerre",17.1967621130998
"77344","Oissery",14.3295658573154
"77345","Orly-sur-Morin",21.4706034320953
"77347","Les Ormes-sur-Voulzie",24.2428817415556
"77348","Ormesson",16.9040061223635
"77349","Othis",12.37036989537
"77350","Ozoir-la-Ferriere",5.85047823363651
"77352","Ozouer-le-Voulgis",11.5641817671378
"77353","Paley",20.0252174175769
"77354","Pamfou",13.33747453357
"77355","Paroy",23.1283035294173
"77356","Passy-sur-Seine",28.8993287674428
"77357","Pecy",18.4395576198527
"77358","Penchard",8.53722582995323
"77359","Perthes",8.80114235806134
"77360","Pezarches",14.4048689613661
"77361","Pierre-Levee",11.7167930923712
"77363","Le Pin",5.49662056756938
"77364","Le Plessis-aux-Bois",11.2296975334892
"77365","Le Plessis-Feu-Aussoux",16.3366258142984
"77366","Le Plessis-l'Eveque",10.7383243384522
"77367","Le Plessis-Placy",15.3622079667195
"77368","Poigny",25.3412034356512
"77369","Poincy",8.50365649777244
"77370","Poligny",19.5035757897648
"77371","Pommeuse",12.6677794068898
"77372","Pomponne",5.0037804182778
"77373","Pontault-Combault",4.65643891712249
"77374","Pontcarre",5.69457589608475
"77376","Precy-sur-Marne",10.3947176463227
"77377","Presles-en-Brie",10.3114318766647
"77378","Pringy",9.23993895164555
"77379","Provins",24.308068265594
"77380","Puisieux",15.1906604751888
"77381","Quiers",17.3618066147023
"77382","Quincy-Voisins",7.57147997734382
"77383","Rampillon",20.3646237322648
"77384","Reau",6.57515437989739
"77385","Rebais",18.4120832715735
"77386","Recloses",14.4803899634109
"77387","Remauville",20.4148313972035
"77388","Reuil-en-Brie",15.3437601126536
"77389","La Rochette",6.64414370325852
"77390","Roissy-en-Brie",5.37275107005634
"77391","Rouilly",26.5399505238623
"77392","Rouvres",10.9084217320461
"77393","Rozay-en-Brie",13.928500119503
"77394","Rubelles",6.13301448108942
"77395","Rumont",20.4866327230972
"77396","Rupereux",27.6313098986508
"77397","Saacy-sur-Marne",19.6300268587062
"77398","Sablonnieres",22.0894679801416
"77399","Saint-Ange-le-Viel",20.0056217392329
"77400","Saint-Augustin",15.4208418422658
"77401","Sainte-Aulde",17.5104431353439
"77402","Saint-Barthelemy",26.5591751582072
"77403","Saint-Brice",26.113248584126
"77404","Sainte-Colombe",24.6211895246334
"77405","Saint-Cyr-sur-Morin",18.5331060737084
"77406","Saint-Denis-les-Rebais",18.1633971058684
"77407","Saint-Fargeau-Ponthierry",7.37552360405848
"77408","Saint-Fiacre",10.8537675804551
"77409","Saint-Germain-Laval",15.5871941741742
"77410","Saint-Germain-Laxis",8.05402987654889
"77411","Saint-Germain-sous-Doue",18.6570442356904
"77412","Saint-Germain-sur-Ecole",11.0294205529384
"77413","Saint-Germain-sur-Morin",6.96812376790032
"77414","Saint-Hilliers",25.0210070450316
"77415","Saint-Jean-les-Deux-Jumeaux",10.5156094927905
"77416","Saint-Just-en-Brie",22.6240749480622
"77417","Saint-Leger",22.0701272576607
"77418","Saint-Loup-de-Naud",24.6112872319072
"77419","Saint-Mammes",10.9360079112838
"77420","Saint-Mard",10.2332540857475
"77421","Saint-Mars-Vieux-Maisons",24.4378194593716
"77423","Saint-Martin-des-Champs",24.9385566930122
"77424","Saint-Martin-du-Boschet",28.6326407797023
"77425","Saint-Martin-en-Biere",11.5573000604669
"77426","Saint-Mery",13.6417518354161
"77427","Saint-Mesmes",10.2107583892305
"77428","Saint-Ouen-en-Brie",15.4786530620435
"77429","Saint-Ouen-sur-Morin",18.9504936268733
"77430","Saint-Pathus",13.3801731276806
"77431","Saint-Pierre-les-Nemours",14.9230599110202
"77432","Saint-Remy-la-Vanne",19.5787772277156
"77433","Saints",15.7797921893565
"77434","Saint-Sauveur-les-Bray",25.1413982860472
"77435","Saint-Sauveur-sur-Ecole",10.1602205301834
"77436","Saint-Simeon",18.3447787335776
"77437","Saint-Soupplets",10.6422332493839
"77438","Saint-Thibault-des-Vignes",3.69437101323029
"77439","Salins",16.890679871224
"77440","Sammeron",11.3760260977155
"77441","Samois-sur-Seine",11.3692279757756
