"ID","NAMES","ouvrier_AsTheCrowFlies_ACC_0.01"
"77360","Pezarches",13347.5200757874
"77361","Pierre-Levee",10458.9973310632
"77363","Le Pin",3853.45593729843
"77364","Le Plessis-aux-Bois",8969.40560348354
"77365","Le Plessis-Feu-Aussoux",14641.3676474247
"77366","Le Plessis-l'Eveque",9038.00248522261
"77367","Le Plessis-Placy",12705.8083708163
"77368","Poigny",19874.5635828362
"77369","Poincy",6172.05459224464
"77370","Poligny",16624.4196291657
"77371","Pommeuse",11789.7317466803
"77372","Pomponne",4376.10315932449
"77373","Pontault-Combault",3460.72646998685
"77374","Pontcarre",5510.00164221757
"77376","Precy-sur-Marne",7506.06492431425
"77377","Presles-en-Brie",8557.67536992414
"77378","Pringy",6523.45913434956
"77379","Provins",20054.1338006464
"77380","Puisieux",12423.8431741447
"77381","Quiers",14806.8004698525
"77382","Quincy-Voisins",7197.46388572695
"77383","Rampillon",15732.951716332
"77384","Reau",5745.65526234975
"77385","Rebais",15538.1193092669
"77386","Recloses",13683.3245360042
"77387","Remauville",17694.5230603754
"77388","Reuil-en-Brie",14528.8624025461
"77389","La Rochette",4965.74383094025
"77390","Roissy-en-Brie",4328.49473081977
"77391","Rouilly",19780.2864565081
"77392","Rouvres",10647.5141825578
"77393","Rozay-en-Brie",14098.4737907106
"77394","Rubelles",5394.4878935977
"77395","Rumont",19321.0248695843
"77396","Rupereux",20439.5324976369
"77397","Saacy-sur-Marne",16393.3876287501
"77398","Sablonnieres",18247.9124861484
"77399","Saint-Ange-le-Viel",15939.6359708568
"77400","Saint-Augustin",12895.3242269499
"77401","Sainte-Aulde",16450.6588986842
"77402","Saint-Barthelemy",21393.1410204482
"77403","Saint-Brice",21539.0542768373
"77404","Sainte-Colombe",19309.7648431882
"77405","Saint-Cyr-sur-Morin",14005.8465257199
"77406","Saint-Denis-les-Rebais",14438.7720022685
"77407","Saint-Fargeau-Ponthierry",6174.71114372445
"77408","Saint-Fiacre",7668.61998157659
"77409","Saint-Germain-Laval",14188.1740572638
"77410","Saint-Germain-Laxis",7336.55006296325
"77411","Saint-Germain-sous-Doue",12958.6005475351
"77412","Saint-Germain-sur-Ecole",9379.875093592
"77413","Saint-Germain-sur-Morin",7769.14446716078
"77414","Saint-Hilliers",18534.047320198
"77415","Saint-Jean-les-Deux-Jumeaux",9855.49436974849
"77416","Saint-Just-en-Brie",16477.5826890104
"77417","Saint-Leger",17174.5160099576
"77418","Saint-Loup-de-Naud",18045.4752772681
"77419","Saint-Mammes",11573.8374428524
"77420","Saint-Mard",9125.65649293495
"77421","Saint-Mars-Vieux-Maisons",19636.0741670191
"77423","Saint-Martin-des-Champs",20099.5457969352
"77424","Saint-Martin-du-Boschet",24164.5884641625
"77425","Saint-Martin-en-Biere",10737.5039704073
"77426","Saint-Mery",11575.3338925319
"77427","Saint-Mesmes",7948.036755744
"77428","Saint-Ouen-en-Brie",13661.5032812212
"77429","Saint-Ouen-sur-Morin",14878.975271538
"77430","Saint-Pathus",12212.6845984443
"77431","Saint-Pierre-les-Nemours",16023.6316746979
"77432","Saint-Remy-la-Vanne",16213.3526022373
"77433","Saints",13782.513632323
"77434","Saint-Sauveur-les-Bray",18758.5067950926
"77435","Saint-Sauveur-sur-Ecole",7782.55456763417
"77436","Saint-Simeon",14950.6210331677
"77437","Saint-Soupplets",10305.9299439342
"77438","Saint-Thibault-des-Vignes",3915.7541150175
"77439","Salins",14450.1274806583
"77440","Sammeron",11374.6696218339
"77441","Samois-sur-Seine",9871.69935405648
"77442","Samoreau",10985.3474028421
"77443","Sancy",9412.74380029956
"77444","Sancy-les-Provins",22617.9975798248
"77445","Savigny-le-Temple",5124.51045396873
"77446","Savins",17758.460732441
"77447","Seine-Port",5443.93585872694
"77448","Sept-Sorts",12277.7360398632
