"ID","NAMES","intermediaires_AsTheCowRolls_POT_10"
"77318","Mortcerf",3352.71329192
"77319","Mortery",1166.51301167
"77320","Mouroux",4676.72892383
"77321","Mousseaux-les-Bray",993.4278733
"77322","Moussy-le-Neuf",4853.64731069
"77323","Moussy-le-Vieux",4287.95639702
"77325","Mouy-sur-Seine",1120.00246633
"77326","Nandy",23716.06551615
"77327","Nangis",2247.46249083
"77328","Nanteau-sur-Essonne",703.86932203
"77329","Nanteau-sur-Lunain",1517.40389154
"77330","Nanteuil-les-Meaux",10508.39406089
"77331","Nanteuil-sur-Marne",1264.32454323
"77332","Nantouillet",5297.40243896
"77333","Nemours",4144.25441886
"77335","Chauconin-Neufmontiers",10392.17327037
"77336","Neufmoutiers-en-Brie",2868.70375699
"77337","Noisiel",70779.53084573
"77338","Noisy-Rudignon",2310.2719724
"77339","Noisy-sur-Ecole",1747.68666572
"77340","Nonville",2431.10468948
"77341","Noyen-sur-Seine",790.6617657
"77342","Obsonville",722.29742185
"77343","Ocquerre",1518.53473586
"77344","Oissery",2694.08791301
"77345","Orly-sur-Morin",924.90035798
"77347","Les Ormes-sur-Voulzie",1556.98322064
"77348","Ormesson",2687.76953975
"77349","Othis",3769.62852999
"77350","Ozoir-la-Ferriere",22522.73905873
"77352","Ozouer-le-Voulgis",3866.30642631
"77353","Paley",1244.89119242
"77354","Pamfou",2566.84859265
"77355","Paroy",1514.62016974
"77356","Passy-sur-Seine",406.37638678
"77357","Pecy",886.59911876
"77358","Penchard",10245.25037724
"77359","Perthes",9946.33398729
"77360","Pezarches",2676.20827304
"77361","Pierre-Levee",3484.71997632
"77363","Le Pin",40897.20530269
"77364","Le Plessis-aux-Bois",4517.34498901
"77365","Le Plessis-Feu-Aussoux",1352.7226095
"77366","Le Plessis-l'Eveque",5499.6711804
"77367","Le Plessis-Placy",2167.0550278
"77368","Poigny",1981.81381947
"77369","Poincy",9486.7262233
"77370","Poligny",2151.44933502
"77371","Pommeuse",4863.71436306
"77372","Pomponne",36741.30378625
"77373","Pontault-Combault",43473.67916764
"77374","Pontcarre",31507.53527579
"77376","Precy-sur-Marne",5677.04846225
"77377","Presles-en-Brie",6311.04298924
"77378","Pringy",8995.15566455
"77379","Provins",2224.32956531
"77380","Puisieux",1512.51292866
"77381","Quiers",1999.4089324
"77382","Quincy-Voisins",13370.93884359
"77383","Rampillon",1288.80588811
"77384","Reau",19972.6724907
"77385","Rebais",2103.92290146
"77386","Recloses",2641.87495801
"77387","Remauville",1583.34134217
"77388","Reuil-en-Brie",2842.22586347
"77389","La Rochette",15033.1792157
"77390","Roissy-en-Brie",27762.47689384
"77391","Rouilly",1487.53554441
"77392","Rouvres",4589.96051407
"77393","Rozay-en-Brie",2581.97292464
"77394","Rubelles",17520.69828525
"77395","Rumont",521.47606892
"77396","Rupereux",468.84648188
"77397","Saacy-sur-Marne",1641.34485631
"77398","Sablonnieres",881.52635174
"77399","Saint-Ange-le-Viel",1027.33271358
"77400","Saint-Augustin",3382.75474693
"77401","Sainte-Aulde",1534.44902982
