"ID","NAMES","artisans_AsTheCowRolls_POT_10"
"77343","Ocquerre",220.28700467
"77344","Oissery",324.4445679
"77345","Orly-sur-Morin",202.56479744
"77347","Les Ormes-sur-Voulzie",321.93234491
"77348","Ormesson",609.6886386
"77349","Othis",392.68591665
"77350","Ozoir-la-Ferriere",3903.4223054
"77352","Ozouer-le-Voulgis",820.40420501
"77353","Paley",319.31335506
"77354","Pamfou",414.80859921
"77355","Paroy",309.04561484
"77356","Passy-sur-Seine",142.05971945
"77357","Pecy",223.73998374
"77358","Penchard",1497.19385688
"77359","Perthes",1924.06047177
"77360","Pezarches",601.21369919
"77361","Pierre-Levee",672.81169804
"77363","Le Pin",6804.42009387
"77364","Le Plessis-aux-Bois",667.60700268
"77365","Le Plessis-Feu-Aussoux",330.74542536
"77366","Le Plessis-l'Eveque",817.07772035
"77367","Le Plessis-Placy",353.42518252
"77368","Poigny",386.90745765
"77369","Poincy",1436.26257684
"77370","Poligny",476.90670368
"77371","Pommeuse",997.45265987
"77372","Pomponne",5516.71809883
"77373","Pontault-Combault",7167.10830018
"77374","Pontcarre",4810.91233298
"77376","Precy-sur-Marne",871.54806316
"77377","Presles-en-Brie",1131.69427945
"77378","Pringy",1555.97356623
"77379","Provins",446.01911921
"77380","Puisieux",224.93472557
"77381","Quiers",337.02888227
"77382","Quincy-Voisins",2251.17802729
"77383","Rampillon",248.98637418
"77384","Reau",2571.71760101
"77385","Rebais",536.04061128
"77386","Recloses",535.32123787
"77387","Remauville",385.14583442
"77388","Reuil-en-Brie",550.79883044
"77389","La Rochette",2163.06290297
"77390","Roissy-en-Brie",4577.33898798
"77391","Rouilly",304.83256203
"77392","Rouvres",562.81806584
"77393","Rozay-en-Brie",583.96098053
"77394","Rubelles",2316.80455654
"77395","Rumont",171.5889875
"77396","Rupereux",117.95115187
"77397","Saacy-sur-Marne",356.49199561
"77398","Sablonnieres",251.95195482
"77399","Saint-Ange-le-Viel",278.92696121
"77400","Saint-Augustin",708.27138239
"77401","Sainte-Aulde",294.44442892
"77402","Saint-Barthelemy",192.81093546
"77403","Saint-Brice",374.02532473
"77404","Sainte-Colombe",426.08328983
"77405","Saint-Cyr-sur-Morin",323.72713074
"77406","Saint-Denis-les-Rebais",521.07112397
"77407","Saint-Fargeau-Ponthierry",2100.55941579
"77408","Saint-Fiacre",995.10249243
"77409","Saint-Germain-Laval",550.48896166
"77410","Saint-Germain-Laxis",1655.02679272
"77411","Saint-Germain-sous-Doue",334.94449908
"77412","Saint-Germain-sur-Ecole",1010.75098563
"77413","Saint-Germain-sur-Morin",2465.36064518
"77414","Saint-Hilliers",160.03748967
"77415","Saint-Jean-les-Deux-Jumeaux",1080.16581571
"77416","Saint-Just-en-Brie",114.80727193
"77417","Saint-Leger",274.99748805
"77418","Saint-Loup-de-Naud",329.29485883
"77419","Saint-Mammes",1063.93948664
"77420","Saint-Mard",901.56905152
"77421","Saint-Mars-Vieux-Maisons",252.9781128
"77423","Saint-Martin-des-Champs",286.86811076
"77424","Saint-Martin-du-Boschet",103.44791028
"77425","Saint-Martin-en-Biere",776.33916655
"77426","Saint-Mery",329.37443763
"77427","Saint-Mesmes",1053.51805445
"77428","Saint-Ouen-en-Brie",337.72498374
"77429","Saint-Ouen-sur-Morin",318.97004473
"77430","Saint-Pathus",363.39427811
"77431","Saint-Pierre-les-Nemours",828.94491238
"77432","Saint-Remy-la-Vanne",547.91691965
"77433","Saints",628.07019332
"77434","Saint-Sauveur-les-Bray",205.38422942
"77435","Saint-Sauveur-sur-Ecole",1414.15298842
"77436","Saint-Simeon",623.10921756
"77437","Saint-Soupplets",869.83923785
"77438","Saint-Thibault-des-Vignes",6446.73000765
"77439","Salins",406.0663865
"77440","Sammeron",845.01267201
"77441","Samois-sur-Seine",922.56960623
"77442","Samoreau",1309.78714567
"77443","Sancy",839.76479578
"77444","Sancy-les-Provins",139.91083811
"77445","Savigny-le-Temple",2933.91837582
"77446","Savins",291.4345573
"77447","Seine-Port",2196.71253961
"77448","Sept-Sorts",597.86439467
"77449","Serris",2789.23399106
"77450","Servon",5215.94352103
"77451","Signy-Signets",455.28263972
"77452","Sigy",268.58143297
"77453","Sivry-Courtry",1399.92723451
"77454","Sognolles-en-Montois",220.78284203
"77455","Soignolles-en-Brie",1312.31289927
"77456","Soisy-Bouy",246.35354235
"77457","Solers",1189.00334465
"77458","Souppes-sur-Loing",473.38082141
"77459","Sourdun",414.19835703
"77460","Tancrou",328.66361518
"77461","Thenisy",263.09071509
"77462","Thieux",1190.74184897
"77463","Thomery",1136.91810768
"77464","Thorigny-sur-Marne",3687.07070765
"77465","Thoury-Ferottes",362.49887757
"77466","Tigeaux",857.22768026
"77467","La Tombe",364.86183964
"77468","Torcy",9207.87955613
"77469","Touquin",551.44744848
"77470","Tournan-en-Brie",1632.19737499
"77471","Tousson",486.93306927
"77472","La Tretoire",319.2980038
"77473","Treuzy-Levelay",380.23332993
"77474","Trilbardou",1809.71678973
"77475","Trilport",1585.77840411
"77476","Trocy-en-Multien",534.33702867
"77477","Ury",912.47761951
"77478","Ussy-sur-Marne",676.91395407
"77479","Vaires-sur-Marne",6839.39229204
"77480","Valence-en-Brie",448.05632461
"77481","Vanville",248.67160541
"77482","Varennes-sur-Seine",755.35261816
"77483","Varreddes",1374.13524931
"77484","Vaucourtois",872.8283338
"77485","Le Vaudoue",504.34811391
"77486","Vaudoy-en-Brie",372.69113415
"77487","Vaux-le-Penil",2046.36058529
"77489","Vaux-sur-Lunain",205.56418066
"77490","Vendrest",97.97088627
"77491","Veneux-les-Sablons",1011.48039749
"77492","Verdelot",131.00023442
"77493","Verneuil-l'Etang",654.94306177
"77494","Vernou-la-Celle-sur-Seine",671.70742857
"77495","Vert-Saint-Denis",3041.37325763
"77496","Vieux-Champagne",152.67681057
"77498","Vignely",1633.16365255
"77500","Villebeon",206.6005079
"77501","Villecerf",663.17023956
"77504","Villemarechal",324.8078218
"77505","Villemareuil",935.4081524
"77506","Villemer",562.25110883
"77507","Villenauxe-la-Petite",202.61502174
"77508","Villeneuve-le-Comte",2046.61414706
"77509","Villeneuve-les-Bordes",225.80612992
"77510","Villeneuve-Saint-Denis",2330.40819558
"77511","Villeneuve-sous-Dammartin",676.70351686
"77512","Villeneuve-sur-Bellot",119.50663926
"77513","Villenoy",1997.12030494
"77514","Villeparisis",7947.31152586
"77515","Villeroy",1105.90427323
"77516","Ville-Saint-Jacques",573.39014721
"77517","Villevaude",4942.73394198
"77518","Villiers-en-Biere",1824.48811405
"77519","Villiers-Saint-Georges",127.22934847
"77520","Villiers-sous-Grez",665.42998291
"77521","Villiers-sur-Morin",2008.36330957
"77522","Villiers-sur-Seine",189.80907167
"77523","Villuis",163.88679885
"77524","Vimpelles",182.56403117
"77525","Vinantes",447.68625244
"77526","Vincy-Manoeuvre",84.43907431
"77527","Voinsles",312.01032519
"77528","Voisenon",2317.7623395
