"ID","NAMES","ouvrier_AsTheCowRolls_POT_0"
"77463","Thomery",204
"77464","Thorigny-sur-Marne",836
"77465","Thoury-Ferottes",73
"77466","Tigeaux",32
"77467","La Tombe",12
"77468","Torcy",2329
"77469","Touquin",92
"77470","Tournan-en-Brie",776
"77471","Tousson",59
"77472","La Tretoire",52
"77473","Treuzy-Levelay",64
"77474","Trilbardou",54
"77475","Trilport",481
"77476","Trocy-en-Multien",51
"77477","Ury",70
"77478","Ussy-sur-Marne",76
"77479","Vaires-sur-Marne",1093
"77480","Valence-en-Brie",80
"77481","Vanville",36
"77482","Varennes-sur-Seine",427
"77483","Varreddes",164
"77484","Vaucourtois",15
"77485","Le Vaudoue",35
"77486","Vaudoy-en-Brie",108
"77487","Vaux-le-Penil",854
"77489","Vaux-sur-Lunain",8
"77490","Vendrest",107
"77491","Veneux-les-Sablons",233
"77492","Verdelot",102
"77493","Verneuil-l'Etang",374
"77494","Vernou-la-Celle-sur-Seine",244
"77495","Vert-Saint-Denis",630
"77496","Vieux-Champagne",12
"77498","Vignely",12
"77500","Villebeon",40
"77501","Villecerf",48
"77504","Villemarechal",56
"77505","Villemareuil",41
"77506","Villemer",68
"77507","Villenauxe-la-Petite",40
"77508","Villeneuve-le-Comte",198
"77509","Villeneuve-les-Bordes",45
"77510","Villeneuve-Saint-Denis",50
"77511","Villeneuve-sous-Dammartin",102
"77512","Villeneuve-sur-Bellot",152
"77513","Villenoy",582
"77514","Villeparisis",2759
"77515","Villeroy",53
"77516","Ville-Saint-Jacques",44
"77517","Villevaude",134
"77518","Villiers-en-Biere",20
"77519","Villiers-Saint-Georges",127
"77520","Villiers-sous-Grez",68
"77521","Villiers-sur-Morin",163
"77522","Villiers-sur-Seine",52
"77523","Villuis",31
"77524","Vimpelles",88
"77525","Vinantes",72
"77526","Vincy-Manoeuvre",59
"77527","Voinsles",57
"77528","Voisenon",81
"77529","Voulangis",150
"77530","Voulton",16
"77531","Voulx",132
"77532","Vulaines-les-Provins",16
"77533","Vulaines-sur-Seine",112
"77534","Yebles",77
"78003","Ablis",321
"78005","Acheres",1888
"78006","Adainville",39
"78007","Aigremont",4
"78009","Allainville",43
"78010","Les Alluets-le-Roi",56
"78013","Andelu",28
"78015","Andresy",620
"78020","Arnouville-les-Mantes",68
"78029","Aubergenville",1534
"78030","Auffargis",92
"78031","Auffreville-Brasseuil",48
"78033","Aulnay-sur-Mauldre",128
"78034","Auteuil",36
"78036","Autouillet",29
"78043","Bailly",81
"78048","Bazainville",116
"78049","Bazemont",76
"78050","Bazoches-sur-Guyonne",29
"78053","Behoust",12
"78057","Bennecourt",172
"78062","Beynes",416
"78068","Blaru",76
"78070","Boinville-en-Mantois",32
"78071","Boinville-le-Gaillard",60
"78072","Boinvilliers",16
"78073","Bois-d'Arcy",786
"78076","Boissets",13
"78077","La Boissiere-Ecole",63
"78082","Boissy-Mauvoisin",72
"78084","Boissy-sans-Avoir",36
"78087","Bonnelles",103
"78089","Bonnieres-sur-Seine",531
"78090","Bouafle",164
"78092","Bougival",363
"78096","Bourdonne",28
"78104","Breuil-Bois-Robert",63
"78107","Breval",150
"78108","Les Breviaires",53
"78113","Brueil-en-Vexin",36
"78117","Buc",132
"78118","Buchelay",200
"78120","Bullion",80
"78123","Carrieres-sous-Poissy",1605
"78124","Carrieres-sur-Seine",1013
"78125","La Celle-les-Bordes",30
"78126","La Celle-Saint-Cloud",998
"78128","Cernay-la-Ville",36
"78133","Chambourcy",200
"78138","Chanteloup-les-Vignes",1082
"78140","Chapet",47
"78143","Chateaufort",41
"78146","Chatou",1131
"78147","Chaufour-les-Bonnieres",39
"78152","Chavenay",45
"78158","Le Chesnay",843
"78160","Chevreuse",279
"78162","Choisel",33
"78163","Civry-la-Foret",16
"78164","Clairefontaine-en-Yvelines",32
"78165","Les Clayes-sous-Bois",1297
"78168","Coignieres",413
"78171","Conde-sur-Vesgre",56
"78172","Conflans-Sainte-Honorine",2864
"78185","Courgent",12
"78188","Cravent",34
"78189","Crespieres",60
"78190","Croissy-sur-Seine",269
"78192","Dammartin-en-Serve",91
"78193","Dampierre-en-Yvelines",39
"78194","Dannemarie",12
"78196","Davron",23
"78202","Drocourt",74
"78206","Ecquevilly",298
"78208","Elancourt",1798
"78209","Emance",31
"78217","Epone",591
"78220","Les Essarts-le-Roi",358
"78224","L'Etang-la-Ville",81
"78227","Evecquemont",24
"78230","La Falaise",54
"78231","Favrieux",12
"78233","Feucherolles",72
"78234","Flacourt",4
"78236","Flexanville",28
"78237","Flins-Neuve-Eglise",16
"78238","Flins-sur-Seine",244
"78239","Follainville-Dennemont",207
"78242","Fontenay-le-Fleury",703
"78245","Fontenay-Mauvoisin",32
"78246","Fontenay-Saint-Pere",87
"78251","Fourqueux",69
"78255","Freneuse",493
"78261","Gaillon-sur-Montcient",63
"78262","Galluis",44
"78263","Gambais",118
"78264","Gambaiseuil",0
"78265","Garancieres",116
"78267","Gargenville",716
"78269","Gazeran",69
"78276","Gommecourt",72
"78278","Goupillieres",24
"78281","Goussonville",48
"78283","Grandchamp",12
"78285","Gressey",44
"78289","Grosrouvre",37
"78290","Guernes",64
"78291","Guerville",181
"78296","Guitrancourt",89
"78297","Guyancourt",1721
"78299","Hardricourt",195
"78300","Hargeville",56
"78302","La Hauteville",12
"78305","Herbeville",16
"78307","Hermeray",41
"78310","Houdan",372
"78311","Houilles",1994
"78314","Issou",492
"78317","Jambville",41
"78320","Jeufosse",64
"78321","Jouars-Pontchartrain",206
"78322","Jouy-en-Josas",230
"78324","Jouy-Mauvoisin",40
"78325","Jumeauville",31
"78327","Juziers",324
"78329","Lainville-en-Vexin",72
"78334","Levis-Saint-Nom",104
"78335","Limay",2368
"78337","Limetz-Villez",206
"78343","Les Loges-en-Josas",40
"78344","Lommoye",40
"78346","Longnes",175
"78349","Longvilliers",25
"78350","Louveciennes",233
"78354","Magnanville",571
"78356","Magny-les-Hameaux",616
"78358","Maisons-Laffitte",583
"78361","Mantes-la-Jolie",5122
"78362","Mantes-la-Ville",2460
"78364","Marcq",31
"78366","Mareil-le-Guyon",0
"78367","Mareil-Marly",40
"78368","Mareil-sur-Mauldre",32
"78372","Marly-le-Roi",453
"78380","Maule",372
"78381","Maulette",93
"78382","Maurecourt",271
"78383","Maurepas",1190
"78384","Medan",69
"78385","Menerville",28
"78389","Mere",61
"78391","Mericourt",51
"78396","Le Mesnil-le-Roi",228
"78397","Le Mesnil-Saint-Denis",165
"78398","Les Mesnuls",21
"78401","Meulan-en-Yvelines",922
"78402","Mezieres-sur-Seine",297
"78403","Mezy-sur-Seine",106
"78404","Millemont",0
"78406","Milon-la-Chapelle",21
