"ID","NAMES","employe_AsTheCrowFlies_POT_7500"
"77291","Le Mesnil-Amelot",24522.43935284
"77292","Messy",14601.13698531
"77293","Misy-sur-Yonne",1602.38767242
"77294","Mitry-Mory",38785.97558269
"77295","Moisenay",11036.05206878
"77296","Moissy-Cramayel",27341.22133473
"77297","Mondreville",739.19527043
"77298","Mons-en-Montois",2004.94170438
"77299","Montarlot",5604.27652606
"77300","Montceaux-les-Meaux",9957.18907388
"77301","Montceaux-les-Provins",364.0881839
"77302","Montcourt-Fromonville",4689.524075
"77303","Montdauphin",569.98575714
"77304","Montenils",210.7244312
"77305","Montereau-Fault-Yonne",5355.78212239
"77306","Montereau-sur-le-Jard",18945.02692864
"77307","Montevrain",27376.29303221
"77308","Montge-en-Goele",6641.50081018
"77309","Monthyon",9639.88623428
"77310","Montigny-le-Guesdier",941.6946469
"77311","Montigny-Lencoup",2395.72517128
"77312","Montigny-sur-Loing",5754.27741796
"77313","Montmachoux",2906.95640837
"77314","Montolivet",559.36572275
"77315","Montry",18258.39789489
"77316","Moret-sur-Loing",6674.24958286
"77317","Mormant",3452.16471238
"77318","Mortcerf",4010.79273508
"77319","Mortery",2917.14909047
"77320","Mouroux",5634.9906032
"77321","Mousseaux-les-Bray",1184.29418879
"77322","Moussy-le-Neuf",8806.64742518
"77323","Moussy-le-Vieux",11009.21397863
"77325","Mouy-sur-Seine",1767.1537316
"77326","Nandy",32660.91896706
"77327","Nangis",2561.25452699
"77328","Nanteau-sur-Essonne",1038.51806156
"77329","Nanteau-sur-Lunain",2868.97587089
"77330","Nanteuil-les-Meaux",17064.04126148
"77331","Nanteuil-sur-Marne",2450.70821236
"77332","Nantouillet",10295.10558839
"77333","Nemours",4716.20495045
"77335","Chauconin-Neufmontiers",14135.54152338
"77336","Neufmoutiers-en-Brie",7074.36060032
"77337","Noisiel",87631.59572127
"77338","Noisy-Rudignon",4480.12778806
"77339","Noisy-sur-Ecole",2016.27424324
"77340","Nonville",4145.13431871
"77341","Noyen-sur-Seine",1325.59959809
"77342","Obsonville",1086.63703998
"77343","Ocquerre",2903.92820838
"77344","Oissery",3573.7321277
"77345","Orly-sur-Morin",2887.24692121
"77347","Les Ormes-sur-Voulzie",2279.86630885
"77348","Ormesson",3961.05441982
"77349","Othis",5753.15814988
"77350","Ozoir-la-Ferriere",26936.48015001
"77352","Ozouer-le-Voulgis",5419.57073287
"77353","Paley",1828.99922362
"77354","Pamfou",3661.3034805
"77355","Paroy",2506.66812602
"77356","Passy-sur-Seine",1012.50027607
"77357","Pecy",1396.54016065
"77358","Penchard",13465.37170923
"77359","Perthes",8880.77646238
"77360","Pezarches",3046.31884359
"77361","Pierre-Levee",4643.8379057
"77363","Le Pin",66853.20861063
"77364","Le Plessis-aux-Bois",7332.69450525
