"ID","NAMES","population_AsTheCrowFlies_POT_7500"
"77316","Moret-sur-Loing",48502.61414187
"77317","Mormant",21736.74703178
"77318","Mortcerf",27070.64228615
"77319","Mortery",18869.37867732
"77320","Mouroux",36791.56603702
"77321","Mousseaux-les-Bray",8316.81706882
"77322","Moussy-le-Neuf",54998.68500919
"77323","Moussy-le-Vieux",67736.9909578
"77325","Mouy-sur-Seine",11916.19628166
"77326","Nandy",208567.53595706
"77327","Nangis",16247.10017533
"77328","Nanteau-sur-Essonne",7827.04947193
"77329","Nanteau-sur-Lunain",19559.88452391
"77330","Nanteuil-les-Meaux",102887.62657014
"77331","Nanteuil-sur-Marne",14420.09637179
"77332","Nantouillet",63654.38228191
"77333","Nemours",32361.7951357
"77335","Chauconin-Neufmontiers",84299.67606942
"77336","Neufmoutiers-en-Brie",45104.87325342
"77337","Noisiel",562539.76388984
"77338","Noisy-Rudignon",31095.80062835
"77339","Noisy-sur-Ecole",16050.09530462
"77340","Nonville",29084.72356224
"77341","Noyen-sur-Seine",8645.61727389
"77342","Obsonville",7706.69409822
"77343","Ocquerre",18566.21787416
"77344","Oissery",21205.74023721
"77345","Orly-sur-Morin",18053.391106
"77347","Les Ormes-sur-Voulzie",15101.67942244
"77348","Ormesson",27109.86693895
"77349","Othis",36439.64791536
"77350","Ozoir-la-Ferriere",174845.34063732
"77352","Ozouer-le-Voulgis",33811.0116376
"77353","Paley",12540.92238227
"77354","Pamfou",26490.28424743
"77355","Paroy",16484.00610176
"77356","Passy-sur-Seine",6820.19168747
"77357","Pecy",8966.60489187
"77358","Penchard",79353.65759156
"77359","Perthes",63937.83906833
"77360","Pezarches",20779.86502815
"77361","Pierre-Levee",29460.86519692
"77363","Le Pin",425326.561959
"77364","Le Plessis-aux-Bois",44470.82186597
"77365","Le Plessis-Feu-Aussoux",14202.53497856
"77366","Le Plessis-l'Eveque",47460.56417763
"77367","Le Plessis-Placy",17938.89951606
"77368","Poigny",23972.61361617
"77369","Poincy",89157.33584613
"77370","Poligny",28244.54162903
"77371","Pommeuse",34981.56194392
"77372","Pomponne",306235.15785638
"77373","Pontault-Combault",425635.43620876
"77374","Pontcarre",194062.64558765
"77376","Precy-sur-Marne",99012.64281317
"77377","Presles-en-Brie",60858.28049256
"77378","Pringy",121244.5161933
"77379","Provins",22449.48905815
"77380","Puisieux",17095.18467963
"77381","Quiers",18510.23313597
"77382","Quincy-Voisins",100578.48169683
"77383","Rampillon",14856.74570021
"77384","Reau",152702.98702738
"77385","Rebais",18445.01281189
"77386","Recloses",26294.15193958
"77387","Remauville",15365.8108267
"77388","Reuil-en-Brie",24959.77156585
"77389","La Rochette",126286.4989772
"77390","Roissy-en-Brie",280423.41115875
"77391","Rouilly",19208.11883143
"77392","Rouvres",36834.85529768
"77393","Rozay-en-Brie",16805.67250516
"77394","Rubelles",129191.97257487
"77395","Rumont",5932.75578688
"77396","Rupereux",8132.45997284
"77397","Saacy-sur-Marne",18790.781774
"77398","Sablonnieres",12095.21898944
"77399","Saint-Ange-le-Viel",11843.10426376
"77400","Saint-Augustin",34148.14461334
"77401","Sainte-Aulde",16591.58817484
"77402","Saint-Barthelemy",10444.07472466
"77403","Saint-Brice",19283.56490164
"77404","Sainte-Colombe",24041.86455762
"77405","Saint-Cyr-sur-Morin",24845.06861895
"77406","Saint-Denis-les-Rebais",23540.73829042
"77407","Saint-Fargeau-Ponthierry",146119.4215754
"77408","Saint-Fiacre",79237.64810526
"77409","Saint-Germain-Laval",32555.16538452
"77410","Saint-Germain-Laxis",89327.9640779
"77411","Saint-Germain-sous-Doue",31588.076466
"77412","Saint-Germain-sur-Ecole",45528.94210096
"77413","Saint-Germain-sur-Morin",100767.6734886
"77414","Saint-Hilliers",11742.56209899
"77415","Saint-Jean-les-Deux-Jumeaux",40902.48158855
"77416","Saint-Just-en-Brie",8589.49947218
"77417","Saint-Leger",16619.90114155
"77418","Saint-Loup-de-Naud",21486.58676146
"77419","Saint-Mammes",54171.71791119
"77420","Saint-Mard",46772.27084472
"77421","Saint-Mars-Vieux-Maisons",9874.6583304
"77423","Saint-Martin-des-Champs",12344.04892359
"77424","Saint-Martin-du-Boschet",3422.19446441
"77425","Saint-Martin-en-Biere",31147.99724086
"77426","Saint-Mery",21979.86560713
"77427","Saint-Mesmes",65032.87615553
"77428","Saint-Ouen-en-Brie",19405.17335449
"77429","Saint-Ouen-sur-Morin",21600.05592456
"77430","Saint-Pathus",24133.01787797
"77431","Saint-Pierre-les-Nemours",30441.69321316
"77432","Saint-Remy-la-Vanne",19609.12977675
"77433","Saints",29231.37855791
"77434","Saint-Sauveur-les-Bray",12968.51595679
"77435","Saint-Sauveur-sur-Ecole",83168.43141812
"77436","Saint-Simeon",24954.21029111
"77437","Saint-Soupplets",34424.3486852
"77438","Saint-Thibault-des-Vignes",328087.63898409
"77439","Salins",25307.57548912
"77440","Sammeron",29294.53919039
"77441","Samois-sur-Seine",62242.41382701
