"ID","NAMES","artisans_AsTheCowRolls_ACC_0.01"
"77280","Mary-sur-Marne",20.269765535049
"77281","Mauperthuis",18.0744697673464
"77282","Mauregard",11.2500812999615
"77283","May-en-Multien",21.5905762859967
"77284","Meaux",11.1184757354823
"77285","Le Mee-sur-Seine",10.0782798897686
"77286","Meigneux",27.0083361156561
"77287","Meilleray",34.3737723076607
"77288","Melun",9.28432527638341
"77289","Melz-sur-Seine",34.3770953458623
"77290","Mery-sur-Marne",22.2216617679446
"77291","Le Mesnil-Amelot",10.880633169599
"77292","Messy",10.1673326224567
"77293","Misy-sur-Yonne",25.4631168081842
"77294","Mitry-Mory",8.12045049763918
"77295","Moisenay",13.47440330743
"77296","Moissy-Cramayel",10.20936065102
"77297","Mondreville",30.9241404601669
"77298","Mons-en-Montois",28.9319560131865
"77299","Montarlot",18.8791124308498
"77300","Montceaux-les-Meaux",13.5499651309167
"77301","Montceaux-les-Provins",29.8927910372571
"77302","Montcourt-Fromonville",18.243184671858
"77303","Montdauphin",34.5524523484537
"77304","Montenils",36.5718713191111
"77305","Montereau-Fault-Yonne",20.0731956494807
"77306","Montereau-sur-le-Jard",11.068542451135
"77307","Montevrain",8.14797471149963
"77308","Montge-en-Goele",15.3298466210734
"77309","Monthyon",14.7221152281024
"77310","Montigny-le-Guesdier",31.4650732057305
"77311","Montigny-Lencoup",23.0325291112331
"77312","Montigny-sur-Loing",17.5608990332836
"77313","Montmachoux",25.6976688527598
"77314","Montolivet",34.6100374283048
"77315","Montry",10.1238264181102
"77316","Moret-sur-Loing",17.3625782245584
"77317","Mormant",17.6995190785595
"77318","Mortcerf",15.0172334492577
"77319","Mortery",27.1614283912365
"77320","Mouroux",16.6378753709568
"77321","Mousseaux-les-Bray",29.4036169683703
"77322","Moussy-le-Neuf",13.870485196972
"77323","Moussy-le-Vieux",15.1356409957971
"77325","Mouy-sur-Seine",29.2281884822904
"77326","Nandy",9.50950965928192
"77327","Nangis",21.1444778586141
"77328","Nanteau-sur-Essonne",22.186916972063
"77329","Nanteau-sur-Lunain",22.4020389678685
"77330","Nanteuil-les-Meaux",12.0964054980559
"77331","Nanteuil-sur-Marne",24.148722245061
"77332","Nantouillet",12.7161645524081
"77333","Nemours",17.4266240802834
"77335","Chauconin-Neufmontiers",12.0830163198567
"77336","Neufmoutiers-en-Brie",13.90249206547
"77337","Noisiel",5.30592200928242
"77338","Noisy-Rudignon",21.9215395851614
"77339","Noisy-sur-Ecole",17.600356791508
"77340","Nonville",20.1846430579363
"77341","Noyen-sur-Seine",31.8714175531609
"77342","Obsonville",26.3385382358684
"77343","Ocquerre",22.2694007615895
"77344","Oissery",17.9755767135223
"77345","Orly-sur-Morin",25.4469160763068
"77347","Les Ormes-sur-Voulzie",30.4341088111403
"77348","Ormesson",20.6544530896677
"77349","Othis",15.6932716925276
"77350","Ozoir-la-Ferriere",8.03613874110328
"77352","Ozouer-le-Voulgis",14.516896067262
"77353","Paley",24.3613049331186
"77354","Pamfou",17.7131396582973
"77355","Paroy",29.2428391327712
"77356","Passy-sur-Seine",34.2586642012226
"77357","Pecy",21.1381733319679
"77358","Penchard",12.7006472407326
"77359","Perthes",10.9078281663257
"77360","Pezarches",16.5323369287143
"77361","Pierre-Levee",14.72313717142
"77363","Le Pin",6.64370168872367
"77364","Le Plessis-aux-Bois",14.9708064462725
"77365","Le Plessis-Feu-Aussoux",19.0801589015725
"77366","Le Plessis-l'Eveque",13.8250771506726
"77367","Le Plessis-Placy",20.6122690058992
"77368","Poigny",30.0294177851408
"77369","Poincy",14.4725034921478
"77370","Poligny",22.8025643175834
"77371","Pommeuse",16.0731952959376
"77372","Pomponne",6.77578552039036
"77373","Pontault-Combault",6.22417090336215
"77374","Pontcarre",7.50495236499144
"77376","Precy-sur-Marne",12.0410556752426
"77377","Presles-en-Brie",11.8644534665428
"77378","Pringy",11.6436884072253
"77379","Provins",28.4462949278186
"77380","Puisieux",19.9548959945496
"77381","Quiers",20.9970489044501
"77382","Quincy-Voisins",10.6262502617356
"77383","Rampillon",24.6283181970713
"77384","Reau",10.1037225126525
"77385","Rebais",22.7918607415984
"77386","Recloses",17.1797897662217
"77387","Remauville",24.3044765414149
"77388","Reuil-en-Brie",18.852998639286
"77389","La Rochette",11.0904881035063
"77390","Roissy-en-Brie",7.43019869801589
"77391","Rouilly",30.7477235856794
"77392","Rouvres",13.7211487867945
"77393","Rozay-en-Brie",16.0898567253858
"77394","Rubelles",10.6062256335966
"77395","Rumont",22.8758077276291
"77396","Rupereux",30.975455968928
"77397","Saacy-sur-Marne",22.94409332719
"77398","Sablonnieres",26.1143514002243
"77399","Saint-Ange-le-Viel",25.4790109304766
