"ID","NAMES","cadres_AsTheCowRolls_POT_20"
"77407","Saint-Fargeau-Ponthierry",96037.28389269
"77408","Saint-Fiacre",29415.67885349
"77409","Saint-Germain-Laval",6863.98871086
"77410","Saint-Germain-Laxis",48800.59900919
"77411","Saint-Germain-sous-Doue",3927.7658909
"77412","Saint-Germain-sur-Ecole",41930.43427293
"77413","Saint-Germain-sur-Morin",84730.62658838
"77414","Saint-Hilliers",1684.0110419
"77415","Saint-Jean-les-Deux-Jumeaux",23482.18472815
"77416","Saint-Just-en-Brie",1968.96466308
"77417","Saint-Leger",2410.83544964
"77418","Saint-Loup-de-Naud",1990.13599517
"77419","Saint-Mammes",13958.97346442
"77420","Saint-Mard",95509.05774702
"77421","Saint-Mars-Vieux-Maisons",1680.45347904
"77423","Saint-Martin-des-Champs",1651.8080534
"77424","Saint-Martin-du-Boschet",788.32454409
"77425","Saint-Martin-en-Biere",36077.28544902
"77426","Saint-Mery",14525.40374049
"77427","Saint-Mesmes",81537.72559564
"77428","Saint-Ouen-en-Brie",9604.48565941
"77429","Saint-Ouen-sur-Morin",3905.92318451
"77430","Saint-Pathus",15876.71118521
"77431","Saint-Pierre-les-Nemours",10212.15031187
"77432","Saint-Remy-la-Vanne",3455.15092181
"77433","Saints",7218.740144
"77434","Saint-Sauveur-les-Bray",1645.06008475
"77435","Saint-Sauveur-sur-Ecole",41824.00287519
"77436","Saint-Simeon",3936.80957755
"77437","Saint-Soupplets",23270.5586808
"77438","Saint-Thibault-des-Vignes",256416.87379707
"77439","Salins",5378.2794791
"77440","Sammeron",23764.4563474
"77441","Samois-sur-Seine",17614.08574897
"77442","Samoreau",20310.57059299
"77443","Sancy",27593.15147327
"77444","Sancy-les-Provins",1231.28915419
"77445","Savigny-le-Temple",85744.8725976
"77446","Savins",2030.49906013
"77447","Seine-Port",61463.06195275
"77448","Sept-Sorts",14515.87997633
"77449","Serris",148292.94210048
"77450","Servon",234459.79565519
"77451","Signy-Signets",13131.9915494
"77452","Sigy",2126.63887137
"77453","Sivry-Courtry",30006.55386497
"77454","Sognolles-en-Montois",1936.42364023
"77455","Soignolles-en-Brie",65194.89783068
"77456","Soisy-Bouy",1509.30439722
"77457","Solers",58983.40071818
"77458","Souppes-sur-Loing",4989.16845116
"77459","Sourdun",1808.39696963
"77460","Tancrou",7200.63168687
"77461","Thenisy",2100.57268082
"77462","Thieux",103639.68991698
"77463","Thomery",14916.36749551
"77464","Thorigny-sur-Marne",154934.63786572
"77465","Thoury-Ferottes",4192.11752172
"77466","Tigeaux",43794.9585849
"77467","La Tombe",4069.52219126
"77468","Torcy",339940.88779578
"77469","Touquin",12425.91769815
"77470","Tournan-en-Brie",91493.07612223
"77471","Tousson",10124.13410422
"77472","La Tretoire",2651.215449
"77473","Treuzy-Levelay",6303.99406806
"77474","Trilbardou",68198.31970062
"77475","Trilport",24379.22677674
"77476","Trocy-en-Multien",8966.87112987
"77477","Ury",22245.90591861
"77478","Ussy-sur-Marne",21806.57436998
"77479","Vaires-sur-Marne",250026.90382181
"77480","Valence-en-Brie",11371.59483913
"77481","Vanville",2906.69692032
"77482","Varennes-sur-Seine",9144.29596859
"77483","Varreddes",20371.29161642
"77484","Vaucourtois",30098.86000643
"77485","Le Vaudoue",11684.53853815
"77486","Vaudoy-en-Brie",8464.01053793
"77487","Vaux-le-Penil",37835.83362652
"77489","Vaux-sur-Lunain",2446.2777207
"77490","Vendrest",3247.7284539
"77491","Veneux-les-Sablons",13352.64814255
"77492","Verdelot",1387.46194592
"77493","Verneuil-l'Etang",20135.10496151
"77494","Vernou-la-Celle-sur-Seine",10649.35000658
"77495","Vert-Saint-Denis",78796.51192097
"77496","Vieux-Champagne",2058.20947088
"77498","Vignely",58728.84975713
"77500","Villebeon",2432.0779279
"77501","Villecerf",9536.17797361
"77504","Villemarechal",5102.16499321
"77505","Villemareuil",30751.63316422
"77506","Villemer",8759.37144285
"77507","Villenauxe-la-Petite",1344.21729559
"77508","Villeneuve-le-Comte",137055.40841479
"77509","Villeneuve-les-Bordes",3470.89049007
"77510","Villeneuve-Saint-Denis",144868.10554744
"77511","Villeneuve-sous-Dammartin",81424.97530059
"77512","Villeneuve-sur-Bellot",1334.56237086
"77513","Villenoy",58050.87046716
"77514","Villeparisis",305880.58763287
"77515","Villeroy",46553.86999926
"77516","Ville-Saint-Jacques",8395.7070423
"77517","Villevaude",207581.12661654
"77518","Villiers-en-Biere",42685.43823577
"77519","Villiers-Saint-Georges",1112.41777766
"77520","Villiers-sous-Grez",12165.49797725
"77521","Villiers-sur-Morin",90256.63339653
"77522","Villiers-sur-Seine",1268.83449105
"77523","Villuis",1058.97305329
"77524","Vimpelles",1840.06249181
"77525","Vinantes",24832.08385172
"77526","Vincy-Manoeuvre",4164.83436832
"77527","Voinsles",9207.12055187
"77528","Voisenon",64072.81119858
"77529","Voulangis",56918.0660117
"77530","Voulton",1269.05152847
"77531","Voulx",3439.33568069
"77532","Vulaines-les-Provins",2299.135208
"77533","Vulaines-sur-Seine",19167.99735337
"77534","Yebles",34276.52569794
"78003","Ablis",20450.24300833
"78005","Acheres",250547.87469668
"78006","Adainville",8484.57420514
"78007","Aigremont",416253.26980507
"78009","Allainville",14660.21569148
"78010","Les Alluets-le-Roi",156742.50724605
"78013","Andelu",43882.51620386
"78015","Andresy",221397.92836573
"78020","Arnouville-les-Mantes",22139.9762348
"78029","Aubergenville",163963.2200249
"78030","Auffargis",85307.45334423
"78031","Auffreville-Brasseuil",45801.52484494
"78033","Aulnay-sur-Mauldre",77632.78698284
"78034","Auteuil",70143.23921618
"78036","Autouillet",46119.11160747
"78043","Bailly",554056.92625653
"78048","Bazainville",43812.05937656
"78049","Bazemont",60912.36379183
"78050","Bazoches-sur-Guyonne",144030.9301279
"78053","Behoust",34540.8305389
"78057","Bennecourt",15041.11706575
"78062","Beynes",95312.96084445
"78068","Blaru",7625.17230734
"78070","Boinville-en-Mantois",29739.68845841
"78071","Boinville-le-Gaillard",12536.28419451
"78072","Boinvilliers",18759.39271024
"78073","Bois-d'Arcy",498537.26010138
"78076","Boissets",6475.04031967
"78077","La Boissiere-Ecole",5599.35551143
"78082","Boissy-Mauvoisin",12742.20363347
"78084","Boissy-sans-Avoir",81065.28596893
"78087","Bonnelles",73546.62304363
"78089","Bonnieres-sur-Seine",13668.77123739
"78090","Bouafle",202283.99466145
"78092","Bougival",647833.29184155
"78096","Bourdonne",20153.63816555
"78104","Breuil-Bois-Robert",36877.92764937
"78107","Breval",8423.88803771
"78108","Les Breviaires",38859.37537621
"78113","Brueil-en-Vexin",48743.85229885
"78117","Buc",435435.89980322
"78118","Buchelay",50254.51285535
"78120","Bullion",54936.68028098
"78123","Carrieres-sous-Poissy",332243.6532011
"78124","Carrieres-sur-Seine",649703.93956811
"78125","La Celle-les-Bordes",40694.78080836
"78126","La Celle-Saint-Cloud",705697.82986939
"78128","Cernay-la-Ville",70171.90666051
"78133","Chambourcy",419605.46430939
"78138","Chanteloup-les-Vignes",213944.38808252
"78140","Chapet",212077.56517282
"78143","Chateaufort",328977.12525391
"78146","Chatou",684823.8026483
"78147","Chaufour-les-Bonnieres",14070.97806391
"78152","Chavenay",275322.93435956
"78158","Le Chesnay",673488.02438065
"78160","Chevreuse",131875.01266984
"78162","Choisel",95175.4187346
