"ID","NAMES","agriculteurs_AsTheCowRolls_ACC_0.005"
"77388","Reuil-en-Brie",7.1501766745037
"77389","La Rochette",8.3139252268377
"77390","Roissy-en-Brie",8.76078870332557
"77391","Rouilly",7.33555718612161
"77392","Rouvres",10.7893835434733
"77393","Rozay-en-Brie",5.26230748008759
"77394","Rubelles",7.04808028856449
"77395","Rumont",7.62906259026423
"77396","Rupereux",7.50642216193349
"77397","Saacy-sur-Marne",8.41653400527562
"77398","Sablonnieres",7.35794664665288
"77399","Saint-Ange-le-Viel",6.89385070534547
"77400","Saint-Augustin",6.17967289287758
"77401","Sainte-Aulde",8.86182386940257
"77402","Saint-Barthelemy",6.64188610355699
"77403","Saint-Brice",5.76777930902037
"77404","Sainte-Colombe",5.82067276012789
"77405","Saint-Cyr-sur-Morin",7.67810754490997
"77406","Saint-Denis-les-Rebais",7.85727901651739
"77407","Saint-Fargeau-Ponthierry",7.9168984974792
"77408","Saint-Fiacre",8.10619644293188
"77409","Saint-Germain-Laval",7.0403205923597
"77410","Saint-Germain-Laxis",7.58880162124928
"77411","Saint-Germain-sous-Doue",8.08494367726025
"77412","Saint-Germain-sur-Ecole",6.95632171125903
"77413","Saint-Germain-sur-Morin",6.86856882930334
"77414","Saint-Hilliers",7.25265899826412
"77415","Saint-Jean-les-Deux-Jumeaux",6.92787290024159
"77416","Saint-Just-en-Brie",9.69089307413442
"77417","Saint-Leger",8.80462572024409
"77418","Saint-Loup-de-Naud",6.85865215180672
"77419","Saint-Mammes",9.94830066088513
"77420","Saint-Mard",8.98206497214155
"77421","Saint-Mars-Vieux-Maisons",6.31401542047302
"77423","Saint-Martin-des-Champs",5.92937405615539
"77424","Saint-Martin-du-Boschet",10.4019944988586
"77425","Saint-Martin-en-Biere",6.69004850593086
"77426","Saint-Mery",10.6802732766812
"77427","Saint-Mesmes",9.06992597328069
"77428","Saint-Ouen-en-Brie",10.0131482909782
"77429","Saint-Ouen-sur-Morin",7.84776853631091
"77430","Saint-Pathus",12.0033498778253
"77431","Saint-Pierre-les-Nemours",5.86628317610892
"77432","Saint-Remy-la-Vanne",6.67775570049398
"77433","Saints",5.3344701266116
"77434","Saint-Sauveur-les-Bray",7.852869461593
"77435","Saint-Sauveur-sur-Ecole",7.41499648219386
"77436","Saint-Simeon",7.14707470062874
"77437","Saint-Soupplets",8.5716450159232
"77438","Saint-Thibault-des-Vignes",6.81330078457477
"77439","Salins",7.41009771093776
"77440","Sammeron",5.71810782164224
"77441","Samois-sur-Seine",11.3617138303012
"77442","Samoreau",10.4979266540959
"77443","Sancy",6.13432540045419
"77444","Sancy-les-Provins",6.49452409585762
"77445","Savigny-le-Temple",8.2266556435979
"77446","Savins",5.75240215073283
"77447","Seine-Port",8.55042857605837
"77448","Sept-Sorts",6.46027068652006
"77449","Serris",8.04645276853309
"77450","Servon",5.59223512628051
"77451","Signy-Signets",7.46726385195454
"77452","Sigy",4.39812202250492
"77453","Sivry-Courtry",8.70962114250753
"77454","Sognolles-en-Montois",6.07296925959553
"77455","Soignolles-en-Brie",6.05071478728262
"77456","Soisy-Bouy",7.21093436673251
"77457","Solers",5.53911041175106
"77458","Souppes-sur-Loing",7.50620487987184
"77459","Sourdun",5.37233007640343
"77460","Tancrou",6.79905829454647
"77461","Thenisy",4.17257821649628
"77462","Thieux",8.53314002895793
"77463","Thomery",10.8710383390973
"77464","Thorigny-sur-Marne",8.45389200093318
"77465","Thoury-Ferottes",6.47414344385634
"77466","Tigeaux",7.5848841127786
"77467","La Tombe",7.69265273490492
"77468","Torcy",6.6596281168968
"77469","Touquin",4.89614840612777
"77470","Tournan-en-Brie",6.87829157838186
"77471","Tousson",6.15523780243819
"77472","La Tretoire",8.42448439553114
"77473","Treuzy-Levelay",6.58269409051998
"77474","Trilbardou",7.56949019040829
"77475","Trilport",7.20146735359323
"77476","Trocy-en-Multien",7.81951131697299
"77477","Ury",6.63380404492321
"77478","Ussy-sur-Marne",6.27107608291968
"77479","Vaires-sur-Marne",7.8389759156577
"77480","Valence-en-Brie",10.182054553769
"77481","Vanville",6.17813786870299
"77482","Varennes-sur-Seine",7.29926978662087
"77483","Varreddes",7.3443876167396
"77484","Vaucourtois",6.47304220013436
"77485","Le Vaudoue",7.07458462690751
"77486","Vaudoy-en-Brie",5.976432356249
"77487","Vaux-le-Penil",8.22137760865381
"77489","Vaux-sur-Lunain",5.79192596302514
"77490","Vendrest",7.40871927156431
"77491","Veneux-les-Sablons",10.415877100797
"77492","Verdelot",7.80936586577422
"77493","Verneuil-l'Etang",7.87882253955924
"77494","Vernou-la-Celle-sur-Seine",11.1979857887217
"77495","Vert-Saint-Denis",6.97539241450852
"77496","Vieux-Champagne",7.33488151088425
"77498","Vignely",8.14177362941367
"77500","Villebeon",6.23655563837999
"77501","Villecerf",5.22091578286329
"77504","Villemarechal",6.26884187759469
"77505","Villemareuil",7.71038481692839
"77506","Villemer",6.19572099901666
"77507","Villenauxe-la-Petite",8.5233659329792
"77508","Villeneuve-le-Comte",7.28252698205192
"77509","Villeneuve-les-Bordes",7.71714306202802
"77510","Villeneuve-Saint-Denis",8.07785648541832
"77511","Villeneuve-sous-Dammartin",9.87823791707476
"77512","Villeneuve-sur-Bellot",9.29599135107248
"77513","Villenoy",6.67305494649476
"77514","Villeparisis",7.7894505218395
"77515","Villeroy",6.51338149369804
"77516","Ville-Saint-Jacques",5.30929199158079
"77517","Villevaude",8.33195113821778
"77518","Villiers-en-Biere",6.30239276855107
"77519","Villiers-Saint-Georges",7.08807315535081
"77520","Villiers-sous-Grez",7.94860395642846
"77521","Villiers-sur-Morin",6.20545941270932
"77522","Villiers-sur-Seine",8.2765912005775
"77523","Villuis",9.76807234078534
"77524","Vimpelles",7.46527337651067
"77525","Vinantes",8.05110251819401
"77526","Vincy-Manoeuvre",12.9388742582579
"77527","Voinsles",5.95199298143292
"77528","Voisenon",6.96788337384917
"77529","Voulangis",6.94556590483527
"77530","Voulton",8.15252643444022
"77531","Voulx",6.17301436989441
"77532","Vulaines-les-Provins",6.62696537547458
"77533","Vulaines-sur-Seine",10.6360417279959
"77534","Yebles",7.07665434187988
"78003","Ablis",7.13407234510506
"78005","Acheres",7.21295806148706
"78006","Adainville",11.4293393904941
"78007","Aigremont",6.08622717089144
"78009","Allainville",5.85646290587781
"78010","Les Alluets-le-Roi",6.27239990993386
"78013","Andelu",6.1741619788797
"78015","Andresy",7.16567309049566
"78020","Arnouville-les-Mantes",8.04821869884648
"78029","Aubergenville",5.48230315331015
"78030","Auffargis",7.80541614452953
"78031","Auffreville-Brasseuil",7.00263133730154
"78033","Aulnay-sur-Mauldre",4.7388490211312
"78034","Auteuil",8.59113128165269
"78036","Autouillet",9.14144102848084
"78043","Bailly",5.30690765455215
"78048","Bazainville",7.95254136384826
"78049","Bazemont",5.66224864826242
"78050","Bazoches-sur-Guyonne",7.67048091416194
"78053","Behoust",8.10314871820996
"78057","Bennecourt",10.1720384394313
"78062","Beynes",6.83307906252558
"78068","Blaru",12.3373232535997
"78070","Boinville-en-Mantois",8.81441752675417
"78071","Boinville-le-Gaillard",5.17816214968396
"78072","Boinvilliers",7.57678528616827
"78073","Bois-d'Arcy",6.06511882760469
"78076","Boissets",9.41826798372262
"78077","La Boissiere-Ecole",12.4867767493037
"78082","Boissy-Mauvoisin",6.75576311647944
"78084","Boissy-sans-Avoir",8.44530935586625
"78087","Bonnelles",7.48397398540357
"78089","Bonnieres-sur-Seine",10.7771322064875
"78090","Bouafle",6.56781519739249
"78092","Bougival",2.92881236756533
"78096","Bourdonne",9.66494751959575
"78104","Breuil-Bois-Robert",7.59747898463939
"78107","Breval",6.71630841143475
"78108","Les Breviaires",7.27843145010374
"78113","Brueil-en-Vexin",8.06569585348797
"78117","Buc",6.48761146543123
"78118","Buchelay",5.95306516896573
"78120","Bullion",8.98203888762089
"78123","Carrieres-sous-Poissy",5.92399507095638
"78124","Carrieres-sur-Seine",2.5635776324485
"78125","La Celle-les-Bordes",10.7044181166847
"78126","La Celle-Saint-Cloud",2.52002424719156
"78128","Cernay-la-Ville",8.57034246429442
"78133","Chambourcy",5.99965253257872
"78138","Chanteloup-les-Vignes",6.78716701215604
"78140","Chapet",7.74361714862018
"78143","Chateaufort",7.20012135785365
"78146","Chatou",2.2999989364727
"78147","Chaufour-les-Bonnieres",9.31336067446767
"78152","Chavenay",5.55932130339863
"78158","Le Chesnay",3.13374493195202
"78160","Chevreuse",7.83580769810112
"78162","Choisel",8.23251771446085
"78163","Civry-la-Foret",8.01514987951222
"78164","Clairefontaine-en-Yvelines",10.4395392410934
"78165","Les Clayes-sous-Bois",6.47331119145251
"78168","Coignieres",9.45714616905434
"78171","Conde-sur-Vesgre",10.2154932918252
"78172","Conflans-Sainte-Honorine",6.64970397891095
"78185","Courgent",6.80187813734364
"78188","Cravent",10.7555817191688
"78189","Crespieres",5.44512182848036
"78190","Croissy-sur-Seine",4.3313056688773
"78192","Dammartin-en-Serve",6.82149042587179
"78193","Dampierre-en-Yvelines",8.82800078395445
