"ID","NAMES","employe_AsTheCrowFlies_ACC_0.01"
"77472","La Tretoire",19143.5371728816
"77473","Treuzy-Levelay",16901.6793771702
"77474","Trilbardou",7814.17557732795
"77475","Trilport",9163.11881868585
"77476","Trocy-en-Multien",13113.961014039
"77477","Ury",15342.4749484289
"77478","Ussy-sur-Marne",13327.8595711365
"77479","Vaires-sur-Marne",3319.44030110633
"77480","Valence-en-Brie",13715.1588746548
"77481","Vanville",19435.4974486205
"77482","Varennes-sur-Seine",15911.3101231711
"77483","Varreddes",10052.4456407708
"77484","Vaucourtois",9383.95231424505
"77485","Le Vaudoue",16243.5923341765
"77486","Vaudoy-en-Brie",17519.4501873819
"77487","Vaux-le-Penil",6958.02609954999
"77489","Vaux-sur-Lunain",24012.7604176947
"77490","Vendrest",17657.221687306
"77491","Veneux-les-Sablons",12872.5995828524
"77492","Verdelot",25042.5453875511
"77493","Verneuil-l'Etang",12700.1701806755
"77494","Vernou-la-Celle-sur-Seine",13203.7871383813
"77495","Vert-Saint-Denis",5087.6410410311
"77496","Vieux-Champagne",19860.0988813498
"77498","Vignely",7350.89707594508
"77500","Villebeon",24160.5460573191
"77501","Villecerf",14822.2494720008
"77504","Villemarechal",18007.8410860765
"77505","Villemareuil",9783.75177847101
"77506","Villemer",15455.860381896
"77507","Villenauxe-la-Petite",29117.4976898722
"77508","Villeneuve-le-Comte",8870.50145454535
"77509","Villeneuve-les-Bordes",17429.3898840984
"77510","Villeneuve-Saint-Denis",7575.59024573585
"77511","Villeneuve-sous-Dammartin",7882.50816526375
"77512","Villeneuve-sur-Bellot",23364.3113714217
"77513","Villenoy",7082.39493573274
"77514","Villeparisis",4228.25604531625
"77515","Villeroy",8852.12356503499
"77516","Ville-Saint-Jacques",15550.9192847106
"77517","Villevaude",5080.15089965495
"77518","Villiers-en-Biere",7477.6320652725
"77519","Villiers-Saint-Georges",28063.1841469813
"77520","Villiers-sous-Grez",15914.1883646908
"77521","Villiers-sur-Morin",8670.50428115725
"77522","Villiers-sur-Seine",30748.0429518204
"77523","Villuis",31022.1446294345
"77524","Vimpelles",21866.0768525218
"77525","Vinantes",9258.33893722615
"77526","Vincy-Manoeuvre",15404.8297859738
"77527","Voinsles",16520.8110686439
"77528","Voisenon",5884.26030455649
"77529","Voulangis",9498.43130020842
"77530","Voulton",25817.1304848826
"77531","Voulx",20318.7709790266
"77532","Vulaines-les-Provins",22260.4833296917
"77533","Vulaines-sur-Seine",11421.4965380847
"77534","Yebles",10721.8980430236
"78003","Ablis",18500.2722382242
"78005","Acheres",4003.93951218009
"78006","Adainville",17604.1577560493
"78007","Aigremont",5985.09531308374
"78009","Allainville",19486.4369431575
"78010","Les Alluets-le-Roi",7875.79438165807
"78013","Andelu",10091.1683813681
"78015","Andresy",4043.4860023837
"78020","Arnouville-les-Mantes",10127.2512243092
"78029","Aubergenville",7504.97864679457
"78030","Auffargis",10133.8823599422
"78031","Auffreville-Brasseuil",7873.09146111767
"78033","Aulnay-sur-Mauldre",8496.65191585361
"78034","Auteuil",10239.4186631967
"78036","Autouillet",10807.6927309479
"78043","Bailly",4279.20191959876
"78048","Bazainville",15331.326822236
"78049","Bazemont",8049.79701817884
"78050","Bazoches-sur-Guyonne",8462.50617149608
"78053","Behoust",12982.7981821782
"78057","Bennecourt",14503.6006541685
"78062","Beynes",8757.20109805391
"78068","Blaru",19520.0627787225
"78070","Boinville-en-Mantois",8881.77347240491
"78071","Boinville-le-Gaillard",19268.8670770522
"78072","Boinvilliers",10786.8450008278
"78073","Bois-d'Arcy",3808.85797715773
"78076","Boissets",16315.9322738794
"78077","La Boissiere-Ecole",18203.6776388774
"78082","Boissy-Mauvoisin",12414.4357579446
"78084","Boissy-sans-Avoir",10818.3518091624
"78087","Bonnelles",11142.3454118679
"78089","Bonnieres-sur-Seine",13442.5524027015
"78090","Bouafle",6839.93481740575
"78092","Bougival",3272.48437737731
"78096","Bourdonne",17037.0402013035
"78104","Breuil-Bois-Robert",8334.38495694381
"78107","Breval",15018.8838802569
"78108","Les Breviaires",11038.059761908
"78113","Brueil-en-Vexin",8334.82702586701
"78117","Buc",4588.49679922265
"78118","Buchelay",7633.14724801705
"78120","Bullion",11665.8849964426
"78123","Carrieres-sous-Poissy",4800.6502095753
"78124","Carrieres-sur-Seine",2318.90711494785
"78125","La Celle-les-Bordes",11442.3704575961
"78126","La Celle-Saint-Cloud",3399.81077963655
"78128","Cernay-la-Ville",10095.0140291175
"78133","Chambourcy",5660.16986450464
"78138","Chanteloup-les-Vignes",4322.56902690334
"78140","Chapet",5863.60412594739
"78143","Chateaufort",5804.08640296519
"78146","Chatou",2951.81242555026
"78147","Chaufour-les-Bonnieres",18612.0426120486
"78152","Chavenay",5880.61477842027
"78158","Le Chesnay",3390.67099672671
"78160","Chevreuse",7573.60176600994
"78162","Choisel",9324.23486743447
"78163","Civry-la-Foret",15090.4802813081
"78164","Clairefontaine-en-Yvelines",13192.7490304664
"78165","Les Clayes-sous-Bois",4338.63117484011
"78168","Coignieres",6522.98470229764
"78171","Conde-sur-Vesgre",16723.0487668858
"78172","Conflans-Sainte-Honorine",3566.10601805973
"78185","Courgent",12217.1117328933
"78188","Cravent",18335.4885021497
