"ID","NAMES","employe_AsTheCowRolls_POT_15"
"77359","Perthes",42175.1748675
"77360","Pezarches",9098.34400266
"77361","Pierre-Levee",18629.43120502
"77363","Le Pin",149259.99393375
"77364","Le Plessis-aux-Bois",20354.4370352
"77365","Le Plessis-Feu-Aussoux",5538.13125508
"77366","Le Plessis-l'Eveque",24226.60713231
"77367","Le Plessis-Placy",9601.9344102
"77368","Poigny",4628.78150978
"77369","Poincy",21615.10586263
"77370","Poligny",5942.63979433
"77371","Pommeuse",11089.99507803
"77372","Pomponne",117126.21326792
"77373","Pontault-Combault",166116.42236053
"77374","Pontcarre",123877.09335407
"77376","Precy-sur-Marne",37897.29601354
"77377","Presles-en-Brie",31594.54079382
"77378","Pringy",36268.45903582
"77379","Provins",4968.13742047
"77380","Puisieux",9323.50112384
"77381","Quiers",5390.24041604
"77382","Quincy-Voisins",39696.75151691
"77383","Rampillon",4190.70855062
"77384","Reau",67977.77680583
"77385","Rebais",6700.16842421
"77386","Recloses",8835.00351412
"77387","Remauville",5069.89906128
"77388","Reuil-en-Brie",9206.02427658
"77389","La Rochette",33472.93313913
"77390","Roissy-en-Brie",109979.80758501
"77391","Rouilly",3736.58871579
"77392","Rouvres",26945.71115595
"77393","Rozay-en-Brie",9891.79342945
"77394","Rubelles",42293.76442604
"77395","Rumont",2266.77487566
"77396","Rupereux",2296.39013729
"77397","Saacy-sur-Marne",4601.34927398
"77398","Sablonnieres",3462.22199048
"77399","Saint-Ange-le-Viel",4009.13419889
"77400","Saint-Augustin",7694.54537162
"77401","Sainte-Aulde",5391.93125587
"77402","Saint-Barthelemy",2313.483446
"77403","Saint-Brice",4282.91419463
"77404","Sainte-Colombe",5082.25973011
"77405","Saint-Cyr-sur-Morin",5428.50735805
"77406","Saint-Denis-les-Rebais",6737.75124833
"77407","Saint-Fargeau-Ponthierry",55338.88149467
"77408","Saint-Fiacre",20642.36474055
"77409","Saint-Germain-Laval",8277.13552538
"77410","Saint-Germain-Laxis",38476.48570511
"77411","Saint-Germain-sous-Doue",5778.38627252
"77412","Saint-Germain-sur-Ecole",22602.85068072
"77413","Saint-Germain-sur-Morin",45274.16073681
"77414","Saint-Hilliers",2961.20518936
"77415","Saint-Jean-les-Deux-Jumeaux",20231.31527625
"77416","Saint-Just-en-Brie",2331.23686206
"77417","Saint-Leger",3844.14317289
"77418","Saint-Loup-de-Naud",4738.23387364
"77419","Saint-Mammes",13321.45402918
"77420","Saint-Mard",43781.6694286
"77421","Saint-Mars-Vieux-Maisons",2763.76677458
"77423","Saint-Martin-des-Champs",2945.36245548
"77424","Saint-Martin-du-Boschet",1277.95350473
"77425","Saint-Martin-en-Biere",19133.81474846
"77426","Saint-Mery",11036.12534058
"77427","Saint-Mesmes",44369.99037003
"77428","Saint-Ouen-en-Brie",7439.14942564
"77429","Saint-Ouen-sur-Morin",5177.39867283
"77430","Saint-Pathus",11737.55712697
"77431","Saint-Pierre-les-Nemours",9325.33957594
"77432","Saint-Remy-la-Vanne",6069.38908857
"77433","Saints",7412.56540483
"77434","Saint-Sauveur-les-Bray",3229.8637634
"77435","Saint-Sauveur-sur-Ecole",27732.32911019
"77436","Saint-Simeon",6806.59552519
"77437","Saint-Soupplets",19689.95745679
"77438","Saint-Thibault-des-Vignes",142027.08620207
"77439","Salins",6951.984284
"77440","Sammeron",18825.90762863
"77441","Samois-sur-Seine",14402.95463004
"77442","Samoreau",18407.88866098
"77443","Sancy",18339.73854143
"77444","Sancy-les-Provins",1631.81992248
"77445","Savigny-le-Temple",68481.58467221
"77446","Savins",4578.15304669
"77447","Seine-Port",46842.90589276
"77448","Sept-Sorts",12981.92239768
"77449","Serris",67551.89863515
"77450","Servon",131856.77245585
"77451","Signy-Signets",11239.42725724
"77452","Sigy",4309.66053402
"77453","Sivry-Courtry",26014.20315398
"77454","Sognolles-en-Montois",3733.49299579
"77455","Soignolles-en-Brie",37732.92638035
"77456","Soisy-Bouy",3846.43790586
"77457","Solers",31595.26548059
"77458","Souppes-sur-Loing",5956.04158168
"77459","Sourdun",4619.92306944
"77460","Tancrou",8104.53541759
"77461","Thenisy",4198.74760048
"77462","Thieux",50781.10431436
"77463","Thomery",12751.3578082
"77464","Thorigny-sur-Marne",85100.44371035
"77465","Thoury-Ferottes",5168.4783877
"77466","Tigeaux",21042.59830762
"77467","La Tombe",5935.63878236
"77468","Torcy",186674.3125093
"77469","Touquin",8153.22275806
