"ID","NAMES","population_AsTheCowRolls_ACC_0.05"
"77267","La Madeleine-sur-Loing",34.9790194279589
"77268","Magny-le-Hongre",17.2028477961916
"77269","Maincy",20.4100213960264
"77270","Maisoncelles-en-Brie",24.7691318488924
"77271","Maisoncelles-en-Gatinais",38.4259625231997
"77272","Maison-Rouge",37.7931326306009
"77273","Marchemoret",21.1040486040432
"77274","Marcilly",25.2073769038373
"77275","Les Marets",39.3640497297122
"77276","Mareuil-les-Meaux",20.5175248348934
"77277","Marles-en-Brie",22.7110902558824
"77278","Marolles-en-Brie",33.2171518910269
"77279","Marolles-sur-Seine",35.3544057883034
"77280","Mary-sur-Marne",29.7762113753314
"77281","Mauperthuis",28.3647464550646
"77282","Mauregard",16.0937315013997
"77283","May-en-Multien",30.8523098302442
"77284","Meaux",20.1866031584436
"77285","Le Mee-sur-Seine",19.5095989293268
"77286","Meigneux",40.0665041844828
"77287","Meilleray",46.3530547835129
"77288","Melun",18.8707786396263
"77289","Melz-sur-Seine",47.2815309345834
"77290","Mery-sur-Marne",31.5293338386632
"77291","Le Mesnil-Amelot",15.5592755756493
"77292","Messy",15.4719534113924
"77293","Misy-sur-Yonne",38.2966838539964
"77294","Mitry-Mory",13.1728644631772
"77295","Moisenay",22.187550308493
"77296","Moissy-Cramayel",16.1118460696244
"77297","Mondreville",42.3478780337595
"77298","Mons-en-Montois",42.8773521385481
"77299","Montarlot",34.1695531232297
"77300","Montceaux-les-Meaux",21.6819167168459
"77301","Montceaux-les-Provins",40.5943331228353
"77302","Montcourt-Fromonville",31.2379572656411
"77303","Montdauphin",46.3476719337662
"77304","Montenils",49.2243455754435
"77305","Montereau-Fault-Yonne",34.2982227914689
"77306","Montereau-sur-le-Jard",17.9425191734947
"77307","Montevrain",15.3671722049276
"77308","Montge-en-Goele",21.2210967656633
"77309","Monthyon",22.5907262710541
"77310","Montigny-le-Guesdier",45.5080404633805
"77311","Montigny-Lencoup",35.8987032501141
"77312","Montigny-sur-Loing",31.0273373048907
"77313","Montmachoux",40.4643887347163
"77314","Montolivet",46.789829802863
"77315","Montry",18.2108066468603
"77316","Moret-sur-Loing",31.8697247281884
"77317","Mormant",26.5623275033987
"77318","Mortcerf",22.1472504299491
"77319","Mortery",38.4789367929195
"77320","Mouroux",26.5645934284093
"77321","Mousseaux-les-Bray",43.4666761616371
"77322","Moussy-le-Neuf",18.2395698768694
"77323","Moussy-le-Vieux",19.981815718839
"77325","Mouy-sur-Seine",43.5278631351684
"77326","Nandy",16.7936845372161
"77327","Nangis",31.492690062382
"77328","Nanteau-sur-Essonne",32.0656970240619
"77329","Nanteau-sur-Lunain",35.3300736283312
"77330","Nanteuil-les-Meaux",20.7557968587795
"77331","Nanteuil-sur-Marne",33.1448364890189
"77332","Nantouillet",19.0074765178731
"77333","Nemours",29.1561875951662
"77335","Chauconin-Neufmontiers",20.3411981820364
"77336","Neufmoutiers-en-Brie",20.5611148332319
"77337","Noisiel",10.5029715215019
"77338","Noisy-Rudignon",37.3255665227683
"77339","Noisy-sur-Ecole",26.4402124398107
"77340","Nonville",32.4369274564178
"77341","Noyen-sur-Seine",46.2893791466921
"77342","Obsonville",38.0815241201761
"77343","Ocquerre",31.7125212357055
"77344","Oissery",25.2483697927328
"77345","Orly-sur-Morin",35.7072371856825
"77347","Les Ormes-sur-Voulzie",45.2410726760418
"77348","Ormesson",32.0643316453087
"77349","Othis",21.1004910555555
"77350","Ozoir-la-Ferriere",15.173682445624
"77352","Ozouer-le-Voulgis",21.6313873732326
"77353","Paley",36.6976696066511
"77354","Pamfou",30.1302399165509
"77355","Paroy",43.6266902248901
"77356","Passy-sur-Seine",48.4270467140914
"77357","Pecy",30.8477448707906
"77358","Penchard",21.1351141422584
"77359","Perthes",18.6546617941463
"77360","Pezarches",25.5663536315162
"77361","Pierre-Levee",22.765525405017
"77363","Le Pin",12.2709744970237
"77364","Le Plessis-aux-Bois",21.800568184916
"77365","Le Plessis-Feu-Aussoux",27.8700524792103
"77366","Le Plessis-l'Eveque",21.0304802211053
"77367","Le Plessis-Placy",29.8912261512793
"77368","Poigny",42.0144552508766
"77369","Poincy",23.1670903827123
"77370","Poligny",34.4603779278967
"77371","Pommeuse",25.7860867380178
"77372","Pomponne",13.4621545609947
"77373","Pontault-Combault",11.7983159641215
"77374","Pontcarre",13.1670860904496
"77376","Precy-sur-Marne",18.3217315710176
"77377","Presles-en-Brie",18.9173759540905
"77378","Pringy",19.8441131920711
"77379","Provins",40.8386484686853
"77380","Puisieux",27.9053848729292
"77381","Quiers",30.507210352836
"77382","Quincy-Voisins",18.9781603427248
"77383","Rampillon",35.5130423944387
"77384","Reau",16.2896405497138
"77385","Rebais",35.9491457159654
"77386","Recloses",27.4349156938538
"77387","Remauville",36.0668213805383
"77388","Reuil-en-Brie",27.8279603557982
"77389","La Rochette",21.5160707274139
"77390","Roissy-en-Brie",13.7438898603452
"77391","Rouilly",42.978979505119
"77392","Rouvres",18.9478020019095
"77393","Rozay-en-Brie",24.6867431837012
"77394","Rubelles",19.7629049340402
"77395","Rumont",32.8425430960956
"77396","Rupereux",42.5812459813514
"77397","Saacy-sur-Marne",32.2452948178981
"77398","Sablonnieres",37.5706610972464
"77399","Saint-Ange-le-Viel",40.1924151041851
"77400","Saint-Augustin",28.9248193325314
"77401","Sainte-Aulde",29.9939730498209
"77402","Saint-Barthelemy",42.4343643650286
"77403","Saint-Brice",42.7092557310155
"77404","Sainte-Colombe",42.1399039532831
"77405","Saint-Cyr-sur-Morin",32.4042124548088
"77406","Saint-Denis-les-Rebais",34.9218595998641
"77407","Saint-Fargeau-Ponthierry",17.0709494051387
"77408","Saint-Fiacre",22.5537764535189
"77409","Saint-Germain-Laval",34.3672620967426
"77410","Saint-Germain-Laxis",20.0775403670041
"77411","Saint-Germain-sous-Doue",34.3326460380699
"77412","Saint-Germain-sur-Ecole",21.1224841973205
"77413","Saint-Germain-sur-Morin",17.9877837318405
"77414","Saint-Hilliers",39.2001900742239
"77415","Saint-Jean-les-Deux-Jumeaux",23.4075007699506
"77416","Saint-Just-en-Brie",36.4999622632573
"77417","Saint-Leger",39.1315640981196
"77418","Saint-Loup-de-Naud",42.6726563554251
"77419","Saint-Mammes",31.2116440965411
"77420","Saint-Mard",17.1252643187091
"77421","Saint-Mars-Vieux-Maisons",40.4923264910115
"77423","Saint-Martin-des-Champs",40.6164518723838
"77424","Saint-Martin-du-Boschet",44.1401977363089
"77425","Saint-Martin-en-Biere",21.8711051770658
"77426","Saint-Mery",26.4419304345391
"77427","Saint-Mesmes",17.4735404527046
"77428","Saint-Ouen-en-Brie",28.6258419162281
"77429","Saint-Ouen-sur-Morin",32.6862840342008
"77430","Saint-Pathus",23.5916147487108
"77431","Saint-Pierre-les-Nemours",30.2362041719419
"77432","Saint-Remy-la-Vanne",35.403671133063
"77433","Saints",29.5366845213867
"77434","Saint-Sauveur-les-Bray",46.1650536297788
"77435","Saint-Sauveur-sur-Ecole",21.1142592416484
"77436","Saint-Simeon",34.7338558017463
"77437","Saint-Soupplets",22.2805095253587
"77438","Saint-Thibault-des-Vignes",12.4096521844218
"77439","Salins",35.3679885907562
"77440","Sammeron",23.4973794524079
"77441","Samois-sur-Seine",28.5219499050027
"77442","Samoreau",27.1068703202925
"77443","Sancy",22.8210330850782
"77444","Sancy-les-Provins",39.1973966615223
"77445","Savigny-le-Temple",16.5342795910901
"77446","Savins",43.5552380902161
"77447","Seine-Port",18.8154797672355
"77448","Sept-Sorts",25.8544086560504
"77449","Serris",15.9675522226103
"77450","Servon",12.948934651207
"77451","Signy-Signets",26.2829466974314
"77452","Sigy",43.1201025248548
"77453","Sivry-Courtry",22.7799223749637
"77454","Sognolles-en-Montois",42.5304052816425
"77455","Soignolles-en-Brie",18.7359805852007
"77456","Soisy-Bouy",45.8135179686814
"77457","Solers",19.4693745370938
"77458","Souppes-sur-Loing",33.7560229017944
"77459","Sourdun",42.4984852091358
"77460","Tancrou",29.3506639268389
"77461","Thenisy",43.1624505878936
"77462","Thieux",16.7318395762376
"77463","Thomery",30.0942037695403
"77464","Thorigny-sur-Marne",15.282333469666
"77465","Thoury-Ferottes",40.6396020194689
"77466","Tigeaux",21.0753476659904
"77467","La Tombe",36.9639824717675
"77468","Torcy",11.1244816484544
"77469","Touquin",26.1992481255461
"77470","Tournan-en-Brie",17.7260784560557
"77471","Tousson",27.6258379170028
"77472","La Tretoire",38.1167770854195
"77473","Treuzy-Levelay",34.5942634132967
"77474","Trilbardou",18.0538104477727
"77475","Trilport",22.780722939048
"77476","Trocy-en-Multien",28.2102067835282
"77477","Ury",25.0155463962809
"77478","Ussy-sur-Marne",23.9694623580858
"77479","Vaires-sur-Marne",12.2704143979635
"77480","Valence-en-Brie",31.2534239229635
"77481","Vanville",36.2017066429024
"77482","Varennes-sur-Seine",34.3846812921315
"77483","Varreddes",23.8063815490851
"77484","Vaucourtois",22.4258215493845
"77485","Le Vaudoue",27.6316740574278
"77486","Vaudoy-en-Brie",27.740786848671
"77487","Vaux-le-Penil",21.4345758872405
"77489","Vaux-sur-Lunain",41.1621301268651
"77490","Vendrest",33.3636932725688
"77491","Veneux-les-Sablons",30.6616972806976
"77492","Verdelot",40.6791169059225
"77493","Verneuil-l'Etang",24.1952439250616
"77494","Vernou-la-Celle-sur-Seine",33.660888045403
"77495","Vert-Saint-Denis",16.9854673169979
