"ID","NAMES","population_AsTheCrowFlies_ACC_0.01"
"77299","Montarlot",14330.625332972
"77300","Montceaux-les-Meaux",11124.1884112447
"77301","Montceaux-les-Provins",30244.5362004449
"77302","Montcourt-Fromonville",15632.8283758841
"77303","Montdauphin",28690.3897486212
"77304","Montenils",31495.0216052555
"77305","Montereau-Fault-Yonne",16583.3877343626
"77306","Montereau-sur-le-Jard",7570.89018946707
"77307","Montevrain",5884.179765634
"77308","Montge-en-Goele",10750.2515075914
"77309","Monthyon",10714.5218288276
"77310","Montigny-le-Guesdier",27602.3647572453
"77311","Montigny-Lencoup",18519.9910924982
"77312","Montigny-sur-Loing",13532.256504031
"77313","Montmachoux",19761.9175556547
"77314","Montolivet",29167.8783660997
"77315","Montry",7704.67683941874
"77316","Moret-sur-Loing",13180.1988474407
"77317","Mormant",14580.3478509492
"77318","Mortcerf",11988.1704970864
"77319","Mortery",23658.0301201662
"77320","Mouroux",14148.90044099
"77321","Mousseaux-les-Bray",26245.5128187121
"77322","Moussy-le-Neuf",9685.77613089969
"77323","Moussy-le-Vieux",8800.96663597869
"77325","Mouy-sur-Seine",26042.6328514279
"77326","Nandy",5559.23517828948
"77327","Nangis",17704.0568963638
"77328","Nanteau-sur-Essonne",18781.4014564666
"77329","Nanteau-sur-Lunain",18441.5846746563
"77330","Nanteuil-les-Meaux",8503.67057749582
"77331","Nanteuil-sur-Marne",21092.814175027
"77332","Nantouillet",8853.17511456998
"77333","Nemours",18076.0217969221
"77335","Chauconin-Neufmontiers",9101.01360331489
"77336","Neufmoutiers-en-Brie",10142.1742915615
"77337","Noisiel",3197.14429529492
"77338","Noisy-Rudignon",17082.3565809359
"77339","Noisy-sur-Ecole",14967.5552972587
"77340","Nonville",15941.4363014974
"77341","Noyen-sur-Seine",29887.0592831782
"77342","Obsonville",22803.681886306
"77343","Ocquerre",16839.5932443666
"77344","Oissery",13819.8670334758
"77345","Orly-sur-Morin",19575.8845916957
"77347","Les Ormes-sur-Voulzie",24637.0556445484
"77348","Ormesson",19840.5935893733
"77349","Othis",11304.9484535694
"77350","Ozoir-la-Ferriere",6091.30407132543
"77352","Ozouer-le-Voulgis",11277.9312499078
"77353","Paley",20044.6344646733
"77354","Pamfou",13060.7445344001
"77355","Paroy",23325.1367177192
"77356","Passy-sur-Seine",30560.4424121558
"77357","Pecy",18734.2610672621
"77358","Penchard",10047.1189201764
"77359","Perthes",9283.81277443027
"77360","Pezarches",15115.69130374
"77361","Pierre-Levee",12288.0415380046
"77363","Le Pin",4355.96940314582
"77364","Le Plessis-aux-Bois",10138.8995853355
"77365","Le Plessis-Feu-Aussoux",16913.4372982333
"77366","Le Plessis-l'Eveque",10410.027077223
"77367","Le Plessis-Placy",15771.2434080773
"77368","Poigny",25404.8576354177
"77369","Poincy",10147.2060791093
"77370","Poligny",19777.9122709423
"77371","Pommeuse",13334.5812244381
"77372","Pomponne",4898.59744286898
"77373","Pontault-Combault",3976.08545799505
"77374","Pontcarre",5891.74349568478
"77376","Precy-sur-Marne",7904.70347593131
"77377","Presles-en-Brie",9360.98505191997
"77378","Pringy",7412.11718896537
"77379","Provins",25517.3358143135
"77380","Puisieux",15099.9153697092
"77381","Quiers",16720.707723069
"77382","Quincy-Voisins",8305.96018373155
"77383","Rampillon",19044.6384536326
"77384","Reau",6543.01323998026
"77385","Rebais",19850.7210207356
"77386","Recloses",14543.7938413157
"77387","Remauville",21175.0298649524
"77388","Reuil-en-Brie",17673.7852065962
"77389","La Rochette",7057.0914502058
"77390","Roissy-en-Brie",5056.14928570466
"77391","Rouilly",25170.0129093685
"77392","Rouvres",11900.5962869172
"77393","Rozay-en-Brie",15907.4795350557
"77394","Rubelles",7019.81586816227
"77395","Rumont",20566.9184920121
"77396","Rupereux",25788.3423179237
"77397","Saacy-sur-Marne",19989.4388011023
"77398","Sablonnieres",22697.4946846609
"77399","Saint-Ange-le-Viel",19109.4144838928
"77400","Saint-Augustin",14750.1010710455
"77401","Sainte-Aulde",19848.7388502162
"77402","Saint-Barthelemy",25943.689123077
"77403","Saint-Brice",27255.8777795362
"77404","Sainte-Colombe",24905.9747349934
"77405","Saint-Cyr-sur-Morin",17303.5448177626
"77406","Saint-Denis-les-Rebais",18463.2592652586
"77407","Saint-Fargeau-Ponthierry",6789.96380511115
"77408","Saint-Fiacre",9957.17621327103
"77409","Saint-Germain-Laval",17354.4466372233
"77410","Saint-Germain-Laxis",8474.24877127241
"77411","Saint-Germain-sous-Doue",16100.3417655465
"77412","Saint-Germain-sur-Ecole",10077.1752048887
"77413","Saint-Germain-sur-Morin",8095.86598033212
"77414","Saint-Hilliers",23464.6915159971
"77415","Saint-Jean-les-Deux-Jumeaux",12048.0103543663
"77416","Saint-Just-en-Brie",20061.5154145395
"77417","Saint-Leger",21609.6504700276
"77418","Saint-Loup-de-Naud",23285.9553694745
"77419","Saint-Mammes",12840.5943167124
"77420","Saint-Mard",10325.4905691841
"77421","Saint-Mars-Vieux-Maisons",24386.966467298
"77423","Saint-Martin-des-Champs",24682.8829489491
"77424","Saint-Martin-du-Boschet",29201.4727788275
"77425","Saint-Martin-en-Biere",11270.1612292365
"77426","Saint-Mery",12997.1463543341
"77427","Saint-Mesmes",8649.84356531008
"77428","Saint-Ouen-en-Brie",15486.9608014952
"77429","Saint-Ouen-sur-Morin",18450.234210787
"77430","Saint-Pathus",13561.0760997769
"77431","Saint-Pierre-les-Nemours",18206.2009333087
"77432","Saint-Remy-la-Vanne",20602.5942834458
"77433","Saints",16069.8579138257
"77434","Saint-Sauveur-les-Bray",24169.6987016588
"77435","Saint-Sauveur-sur-Ecole",8465.13382184672
"77436","Saint-Simeon",18889.1132099185
"77437","Saint-Soupplets",11841.1761027881
"77438","Saint-Thibault-des-Vignes",4382.67360613575
"77439","Salins",17776.7620037411
"77440","Sammeron",13791.5106694376
"77441","Samois-sur-Seine",10447.6321605617
"77442","Samoreau",11539.0032950162
"77443","Sancy",10686.1594353641
"77444","Sancy-les-Provins",27780.9912566796
"77445","Savigny-le-Temple",5696.62303029931
"77446","Savins",23111.047625953
"77447","Seine-Port",6083.79652763269
"77448","Sept-Sorts",14884.1469191703
"77449","Serris",7172.90592606247
"77450","Servon",5591.18855305997
"77451","Signy-Signets",13072.0136222716
"77452","Sigy",22011.2186780159
"77453","Sivry-Courtry",9896.07165182883
"77454","Sognolles-en-Montois",21220.6275425288
"77455","Soignolles-en-Brie",9445.44965266452
"77456","Soisy-Bouy",26885.9159160718
"77457","Solers",10064.9930178239
"77458","Souppes-sur-Loing",23503.838236447
"77459","Sourdun",29003.3779027458
"77460","Tancrou",15968.7976797936
"77461","Thenisy",22369.7482464734
"77462","Thieux",8167.10129119795
"77463","Thomery",12037.2929068555
"77464","Thorigny-sur-Marne",5707.2674492899
"77465","Thoury-Ferottes",18863.2076745502
"77466","Tigeaux",10694.419299035
"77467","La Tombe",21098.5408893539
"77468","Torcy",3789.55632675257
"77469","Touquin",16172.0812499301
"77470","Tournan-en-Brie",9845.94470324092
"77471","Tousson",17318.4923638942
"77472","La Tretoire",20419.9384591477
"77473","Treuzy-Levelay",17002.8445227567
"77474","Trilbardou",8376.95915752891
"77475","Trilport",10612.6971787598
"77476","Trocy-en-Multien",14527.0196197725
"77477","Ury",15180.1037101541
"77478","Ussy-sur-Marne",14587.4956723684
"77479","Vaires-sur-Marne",3588.55628885476
"77480","Valence-en-Brie",13792.7600990045
"77481","Vanville",20146.4781122682
"77482","Varennes-sur-Seine",16014.4520862054
"77483","Varreddes",11590.8057908281
"77484","Vaucourtois",10230.3401204821
"77485","Le Vaudoue",16142.7002921062
"77486","Vaudoy-en-Brie",18102.7905638514
"77487","Vaux-le-Penil",7589.55985775781
"77489","Vaux-sur-Lunain",24276.8778575048
"77490","Vendrest",19028.3273285517
"77491","Veneux-les-Sablons",12693.532423052
"77492","Verdelot",26206.7467921112
"77493","Verneuil-l'Etang",13079.585301503
"77494","Vernou-la-Celle-sur-Seine",13125.7742200096
"77495","Vert-Saint-Denis",5724.30514366104
"77496","Vieux-Champagne",20539.5043236991
"77498","Vignely",7969.58248283999
"77500","Villebeon",24420.6174807027
"77501","Villecerf",14854.2399527248
"77504","Villemarechal",18185.1637489275
"77505","Villemareuil",10752.1633498788
"77506","Villemer",15526.9141075853
"77507","Villenauxe-la-Petite",29888.8141153314
"77508","Villeneuve-le-Comte",9437.8695724786
"77509","Villeneuve-les-Bordes",17846.5644929434
"77510","Villeneuve-Saint-Denis",8020.80079203114
"77511","Villeneuve-sous-Dammartin",8266.0950593116
"77512","Villeneuve-sur-Bellot",24624.2869911888
"77513","Villenoy",8138.77598504602
"77514","Villeparisis",4598.74326170252
"77515","Villeroy",9434.9401552635
"77516","Ville-Saint-Jacques",15625.3053415147
"77517","Villevaude",5234.37380334412
"77518","Villiers-en-Biere",7772.18400629154
"77519","Villiers-Saint-Georges",29062.2904018042
"77520","Villiers-sous-Grez",15764.8138165318
"77521","Villiers-sur-Morin",9330.38753340753
"77522","Villiers-sur-Seine",31540.5250293906
"77523","Villuis",31772.1483046443
"77524","Vimpelles",22589.681620601
"77525","Vinantes",9825.71420642872
"77526","Vincy-Manoeuvre",16611.4112493233
"77527","Voinsles",17189.1877519656
"77528","Voisenon",6561.24457012352
"77529","Voulangis",10138.1312102175
"77530","Voulton",26792.2710780198
"77531","Voulx",20530.6928179462
"77532","Vulaines-les-Provins",23060.7188815696
"77533","Vulaines-sur-Seine",11262.2166153704
