"ID","NAMES","artisans_AsTheCrowFlies_ACC_0.05"
"77301","Montceaux-les-Provins",44281.7580950588
"77302","Montcourt-Fromonville",32971.1052062141
"77303","Montdauphin",42585.7673771616
"77304","Montenils",45301.5635966833
"77305","Montereau-Fault-Yonne",33817.3999692252
"77306","Montereau-sur-le-Jard",16612.5208640605
"77307","Montevrain",12638.3357644766
"77308","Montge-en-Goele",17227.0560496891
"77309","Monthyon",19399.3151385757
"77310","Montigny-le-Guesdier",44470.5013087873
"77311","Montigny-Lencoup",33997.0928895611
"77312","Montigny-sur-Loing",30903.9257448683
"77313","Montmachoux",38498.4092063158
"77314","Montolivet",43031.4040912335
"77315","Montry",15648.6177782828
"77316","Moret-sur-Loing",30868.2900658348
"77317","Mormant",23204.5481514023
"77318","Mortcerf",19582.4387652086
"77319","Mortery",37361.5911865779
"77320","Mouroux",25302.5108027955
"77321","Mousseaux-les-Bray",43075.9659873222
"77322","Moussy-le-Neuf",15499.0795460137
"77323","Moussy-le-Vieux",14643.5310997208
"77325","Mouy-sur-Seine",42300.2038231239
"77326","Nandy",14121.0912630514
"77327","Nangis",28812.6267090999
"77328","Nanteau-sur-Essonne",29353.2865564909
"77329","Nanteau-sur-Lunain",37929.6415309193
"77330","Nanteuil-les-Meaux",19455.1604247819
"77331","Nanteuil-sur-Marne",35003.7784493109
"77332","Nantouillet",14478.5002498807
"77333","Nemours",35664.0866821376
"77335","Chauconin-Neufmontiers",17911.0775536679
"77336","Neufmoutiers-en-Brie",16580.2482431722
"77337","Noisiel",7621.09104458133
"77338","Noisy-Rudignon",35846.2517390325
"77339","Noisy-sur-Ecole",25388.3295277106
"77340","Nonville",34882.0389248841
"77341","Noyen-sur-Seine",45465.9600138268
"77342","Obsonville",37187.064468337
"77343","Ocquerre",29268.5050618322
"77344","Oissery",21627.5879312592
"77345","Orly-sur-Morin",33776.8485093303
"77347","Les Ormes-sur-Voulzie",40408.1565212021
"77348","Ormesson",35947.3555610245
"77349","Othis",17537.2719978335
"77350","Ozoir-la-Ferriere",11324.2224018233
"77352","Ozouer-le-Voulgis",17776.939944654
"77353","Paley",39704.1203333204
"77354","Pamfou",27152.5081407629
"77355","Paroy",38653.3178953938
"77356","Passy-sur-Seine",46409.9409909191
"77357","Pecy",28831.2468403807
"77358","Penchard",19609.8278605112
"77359","Perthes",19382.3338023518
"77360","Pezarches",23574.0666461294
"77361","Pierre-Levee",25012.7893485788
"77363","Le Pin",8569.91452053341
"77364","Le Plessis-aux-Bois",16762.5092088069
"77365","Le Plessis-Feu-Aussoux",26065.2360007324
"77366","Le Plessis-l'Eveque",17925.9915418397
"77367","Le Plessis-Placy",26987.7139040622
"77368","Poigny",39821.5829454261
"77369","Poincy",21613.6166260388
"77370","Poligny",38216.492030319
"77371","Pommeuse",23320.1034240912
"77372","Pomponne",9853.19161496888
"77373","Pontault-Combault",8322.72711531846
"77374","Pontcarre",11510.691100551
"77376","Precy-sur-Marne",14216.9576524142
"77377","Presles-en-Brie",15027.7586713213
"77378","Pringy",17376.3951209871
"77379","Provins",39759.394801773
"77380","Puisieux",24894.980735031
"77381","Quiers",25479.2118675198
"77382","Quincy-Voisins",18045.0077546651
"77383","Rampillon",31606.0583056274
"77384","Reau",14945.5491066654
"77385","Rebais",33715.2763388515
"77386","Recloses",29091.2918357781
"77387","Remauville",40432.0503458676
"77388","Reuil-en-Brie",31722.0062181013
"77389","La Rochette",20029.529968613
"77390","Roissy-en-Brie",10017.055490014
"77391","Rouilly",39057.1936660153
"77392","Rouvres",18168.3554253437
"77393","Rozay-en-Brie",23822.3427637633
"77394","Rubelles",18052.665657195
"77395","Rumont",32910.2663083735
"77396","Rupereux",39708.0005182904
"77397","Saacy-sur-Marne",34080.219023114
"77398","Sablonnieres",36701.5289069889
"77399","Saint-Ange-le-Viel",38857.939591931
"77400","Saint-Augustin",24579.8229848171
"77401","Sainte-Aulde",33305.1768970263
"77402","Saint-Barthelemy",39891.6965125051
"77403","Saint-Brice",41519.1981438731
"77404","Sainte-Colombe",39321.778341145
"77405","Saint-Cyr-sur-Morin",31482.9981745409
"77406","Saint-Denis-les-Rebais",32137.502065585
"77407","Saint-Fargeau-Ponthierry",15823.055648583
"77408","Saint-Fiacre",21662.8275331644
"77409","Saint-Germain-Laval",33975.5030478366
"77410","Saint-Germain-Laxis",17991.9504518835
"77411","Saint-Germain-sous-Doue",29307.6473488158
"77412","Saint-Germain-sur-Ecole",19297.6781143725
"77413","Saint-Germain-sur-Morin",16249.7194020152
"77414","Saint-Hilliers",36897.286855149
"77415","Saint-Jean-les-Deux-Jumeaux",25212.121606169
"77416","Saint-Just-en-Brie",31508.8034178391
"77417","Saint-Leger",35494.1164119573
"77418","Saint-Loup-de-Naud",37570.9225127432
"77419","Saint-Mammes",29894.945342133
"77420","Saint-Mard",16172.6112172947
"77421","Saint-Mars-Vieux-Maisons",38055.7758291807
"77423","Saint-Martin-des-Champs",38425.2640464836
"77424","Saint-Martin-du-Boschet",43196.2287852165
"77425","Saint-Martin-en-Biere",22312.7810117451
"77426","Saint-Mery",22649.4797618656
"77427","Saint-Mesmes",14178.046309744
"77428","Saint-Ouen-en-Brie",25436.9407391331
"77429","Saint-Ouen-sur-Morin",32749.7348845322
"77430","Saint-Pathus",20820.9626368611
"77431","Saint-Pierre-les-Nemours",34684.9839776141
"77432","Saint-Remy-la-Vanne",34051.7949870898
"77433","Saints",26098.6096143858
"77434","Saint-Sauveur-les-Bray",40416.8918982876
"77435","Saint-Sauveur-sur-Ecole",18071.038038436
"77436","Saint-Simeon",31862.9739529661
"77437","Saint-Soupplets",19509.9627390311
"77438","Saint-Thibault-des-Vignes",9653.68300643059
"77439","Salins",33773.5294501187
"77440","Sammeron",27551.5592720353
"77441","Samois-sur-Seine",24611.6893443523
"77442","Samoreau",26762.9157128785
"77443","Sancy",21353.6915516457
"77444","Sancy-les-Provins",41727.4368110587
"77445","Savigny-le-Temple",14402.7096336486
"77446","Savins",37813.4531628562
"77447","Seine-Port",15684.870704482
"77448","Sept-Sorts",28757.5217403364
"77449","Serris",14097.9064536677
"77450","Servon",10252.6909652519
"77451","Signy-Signets",26423.4468582332
"77452","Sigy",37523.4803107003
"77453","Sivry-Courtry",21439.3000030024
"77454","Sognolles-en-Montois",35432.3488153771
"77455","Soignolles-en-Brie",16023.2869812514
