"ID","NAMES","population_AsTheCowRolls_POT_10"
"77458","Souppes-sur-Loing",21407.05061383
"77459","Sourdun",19228.51425018
"77460","Tancrou",15489.04962887
"77461","Thenisy",11403.48345685
"77462","Thieux",51666.80542451
"77463","Thomery",50983.8308894
"77464","Thorigny-sur-Marne",161547.74889309
"77465","Thoury-Ferottes",13024.83101812
"77466","Tigeaux",25524.26272807
"77467","La Tombe",18525.54828654
"77468","Torcy",406966.30866392
"77469","Touquin",17226.76811159
"77470","Tournan-en-Brie",61189.99832162
"77471","Tousson",12044.4443146
"77472","La Tretoire",9876.63042212
"77473","Treuzy-Levelay",14000.61824968
"77474","Trilbardou",80990.7408408
"77475","Trilport",79315.52955942
"77476","Trocy-en-Multien",27156.10561986
"77477","Ury",36262.92563372
"77478","Ussy-sur-Marne",30221.93035816
"77479","Vaires-sur-Marne",307011.19066914
"77480","Valence-en-Brie",21685.80633318
"77481","Vanville",10814.6461161
"77482","Varennes-sur-Seine",42139.57350606
"77483","Varreddes",71854.06362783
"77484","Vaucourtois",29899.45609075
"77485","Le Vaudoue",12919.73325486
"77486","Vaudoy-en-Brie",11778.7143783
"77487","Vaux-le-Penil",111773.66549249
"77489","Vaux-sur-Lunain",5946.18292444
"77490","Vendrest",6456.73177698
"77491","Veneux-les-Sablons",47772.3452721
"77492","Verdelot",4283.85404707
"77493","Verneuil-l'Etang",21890.76757456
"77494","Vernou-la-Celle-sur-Seine",32672.55953126
"77495","Vert-Saint-Denis",171196.12377474
"77496","Vieux-Champagne",5489.53098532
"77498","Vignely",69593.31644769
"77500","Villebeon",6371.56533802
"77501","Villecerf",29003.07095981
"77504","Villemarechal",9698.7244586
"77505","Villemareuil",40570.71505822
"77506","Villemer",22718.47614476
"77507","Villenauxe-la-Petite",6956.05692465
"77508","Villeneuve-le-Comte",78085.80014167
"77509","Villeneuve-les-Bordes",11738.92943183
"77510","Villeneuve-Saint-Denis",94056.31629622
"77511","Villeneuve-sous-Dammartin",32376.16436473
"77512","Villeneuve-sur-Bellot",3989.09742458
"77513","Villenoy",92592.48288201
"77514","Villeparisis",347370.28942165
"77515","Villeroy",53809.84059343
"77516","Ville-Saint-Jacques",28670.40499356
"77517","Villevaude",214426.35862109
"77518","Villiers-en-Biere",77273.75519
"77519","Villiers-Saint-Georges",4013.34208362
"77520","Villiers-sous-Grez",26598.43379258
"77521","Villiers-sur-Morin",70121.98551927
"77522","Villiers-sur-Seine",6019.5875708
"77523","Villuis",5171.56423235
"77524","Vimpelles",7316.68804569
"77525","Vinantes",19422.36793322
"77526","Vincy-Manoeuvre",3708.70105576
"77527","Voinsles",9966.84788093
"77528","Voisenon",129789.30031171
"77529","Voulangis",40617.48934211
"77530","Voulton",7339.03497428
"77531","Voulx",9595.65691943
"77532","Vulaines-les-Provins",17757.41820983
"77533","Vulaines-sur-Seine",52998.87646306
"77534","Yebles",27049.28160313
"78003","Ablis",18390.67018503
"78005","Acheres",232997.36880449
"78006","Adainville",7298.50663637
"78007","Aigremont",197488.93624299
"78009","Allainville",10783.53314703
"78010","Les Alluets-le-Roi",57360.39645845
"78013","Andelu",27440.31551373
"78015","Andresy",230936.23362328
