"ID","NAMES","agriculteurs_AsTheCrowFlies_ACC_0.005"
"77308","Montge-en-Goele",4688.2621940196
"77309","Monthyon",5297.86689038494
"77310","Montigny-le-Guesdier",6877.98322910423
"77311","Montigny-Lencoup",5272.92948763959
"77312","Montigny-sur-Loing",6702.50599806296
"77313","Montmachoux",4815.99263792545
"77314","Montolivet",5330.65572150265
"77315","Montry",5204.33516882513
"77316","Moret-sur-Loing",5985.33805580254
"77317","Mormant",6111.76593259181
"77318","Mortcerf",5071.22960911644
"77319","Mortery",4645.82344826912
"77320","Mouroux",4343.0675994109
"77321","Mousseaux-les-Bray",5801.30464339683
"77322","Moussy-le-Neuf",5781.97513611207
"77323","Moussy-le-Vieux",5640.15347209311
"77325","Mouy-sur-Seine",5323.04508234864
"77326","Nandy",5287.29520647953
"77327","Nangis",4945.11296294025
"77328","Nanteau-sur-Essonne",4699.42361694794
"77329","Nanteau-sur-Lunain",4327.565656599
"77330","Nanteuil-les-Meaux",4396.34112831072
"77331","Nanteuil-sur-Marne",5662.61592896627
"77332","Nantouillet",4545.76146102737
"77333","Nemours",4997.8432883272
"77335","Chauconin-Neufmontiers",4494.36389670896
"77336","Neufmoutiers-en-Brie",5041.54479709809
"77337","Noisiel",5116.14443246709
"77338","Noisy-Rudignon",3927.55992258033
"77339","Noisy-sur-Ecole",5443.69258475979
"77340","Nonville",5364.47984093
"77341","Noyen-sur-Seine",5648.97734462223
"77342","Obsonville",2986.80782111846
"77343","Ocquerre",4114.42178835268
"77344","Oissery",7913.25296304879
"77345","Orly-sur-Morin",4540.90402643596
"77347","Les Ormes-sur-Voulzie",4459.25954610833
"77348","Ormesson",4306.83222338903
"77349","Othis",6715.79722090857
"77350","Ozoir-la-Ferriere",5834.90853793507
"77352","Ozouer-le-Voulgis",4397.1503071915
"77353","Paley",3966.20836903486
"77354","Pamfou",7199.06760354525
"77355","Paroy",3455.11587050678
"77356","Passy-sur-Seine",6275.66388823366
"77357","Pecy",5003.20533865295
"77358","Penchard",5057.74888177687
"77359","Perthes",4457.50494180381
"77360","Pezarches",3448.86555265157
"77361","Pierre-Levee",4412.58588684562
"77363","Le Pin",5594.24427179367
"77364","Le Plessis-aux-Bois",3936.74495380331
"77365","Le Plessis-Feu-Aussoux",3972.0821779429
"77366","Le Plessis-l'Eveque",4427.92707654003
"77367","Le Plessis-Placy",5236.72323857277
"77368","Poigny",3035.2754823848
"77369","Poincy",5283.28678200633
"77370","Poligny",5038.6761077478
"77371","Pommeuse",4165.60893666745
"77372","Pomponne",5570.33605163149
"77373","Pontault-Combault",5452.98703304607
"77374","Pontcarre",5746.74615066349
"77376","Precy-sur-Marne",5259.40286341145
"77377","Presles-en-Brie",5032.11882504436
"77378","Pringy",5268.40332827262
"77379","Provins",2680.8908961925
"77380","Puisieux",7461.92558527568
"77381","Quiers",5287.71278014096
"77382","Quincy-Voisins",4234.23220040483
"77383","Rampillon",4050.03952100014
"77384","Reau",5230.47787858127
"77385","Rebais",5119.57585132813
"77386","Recloses",5924.16252207865
"77387","Remauville",4100.1306750876
"77388","Reuil-en-Brie",4900.58864366132
"77389","La Rochette",5039.91131515521
"77390","Roissy-en-Brie",5866.62330755226
"77391","Rouilly",4296.47443005638
"77392","Rouvres",6273.41758052737
"77393","Rozay-en-Brie",3275.18212628606
"77394","Rubelles",5014.44591159406
"77395","Rumont",4740.12350249647
"77396","Rupereux",4744.47495594148
"77397","Saacy-sur-Marne",5259.34455767642
"77398","Sablonnieres",4555.37963051407
"77399","Saint-Ange-le-Viel",4300.70262187592
"77400","Saint-Augustin",3773.30449283497
"77401","Sainte-Aulde",5155.48969124474
"77402","Saint-Barthelemy",3705.27562695942
"77403","Saint-Brice",4266.69720317708
"77404","Sainte-Colombe",3798.10993959842
"77405","Saint-Cyr-sur-Morin",3861.01412420587
"77406","Saint-Denis-les-Rebais",5029.999280919
"77407","Saint-Fargeau-Ponthierry",5341.2300827956
"77408","Saint-Fiacre",4740.73022581864
