"ID","NAMES","ouvrier_AsTheCrowFlies_POT_7500"
"78117","Buc",17543.22135272
"78118","Buchelay",13040.87786432
"78120","Bullion",1869.29500305
"78123","Carrieres-sous-Poissy",19519.63265907
"78124","Carrieres-sur-Seine",67503.5062014
"78125","La Celle-les-Bordes",1978.15902485
"78126","La Celle-Saint-Cloud",31700.58019353
"78128","Cernay-la-Ville",2760.460872
"78133","Chambourcy",13995.74508725
"78138","Chanteloup-les-Vignes",24921.06438847
"78140","Chapet",15851.30207958
"78143","Chateaufort",12201.16881106
"78146","Chatou",51011.41115551
"78147","Chaufour-les-Bonnieres",1408.86529908
"78152","Chavenay",12509.02486213
"78158","Le Chesnay",26720.15940196
"78160","Chevreuse",7623.75965844
"78162","Choisel",3402.73286617
"78163","Civry-la-Foret",1269.88669436
"78164","Clairefontaine-en-Yvelines",2156.86941454
"78165","Les Clayes-sous-Bois",16591.16196841
"78168","Coignieres",10815.02586295
"78171","Conde-sur-Vesgre",720.97190717
"78172","Conflans-Sainte-Honorine",33639.48986436
"78185","Courgent",2799.93937116
"78188","Cravent",1272.5695216
"78189","Crespieres",6230.57645333
"78190","Croissy-sur-Seine",38386.59409712
"78192","Dammartin-en-Serve",2865.88567134
"78193","Dampierre-en-Yvelines",6789.76877973
"78194","Dannemarie",867.17032057
"78196","Davron",8506.06774981
"78202","Drocourt",7007.328518
"78206","Ecquevilly",12719.67351237
"78208","Elancourt",16733.69792899
"78209","Emance",762.16987535
"78217","Epone",10772.05625764
"78220","Les Essarts-le-Roi",5974.66508382
"78224","L'Etang-la-Ville",16970.68644656
"78227","Evecquemont",15706.41407967
"78230","La Falaise",9229.34912335
"78231","Favrieux",8039.35806597
"78233","Feucherolles",9515.94109606
"78234","Flacourt",6427.63909971
"78236","Flexanville",1802.16116701
"78237","Flins-Neuve-Eglise",1158.33376422
"78238","Flins-sur-Seine",12546.57249395
"78239","Follainville-Dennemont",12451.32840633
"78242","Fontenay-le-Fleury",18662.77371476
"78245","Fontenay-Mauvoisin",10307.20817759
"78246","Fontenay-Saint-Pere",11461.65891299
"78251","Fourqueux",16659.16225011
"78255","Freneuse",5244.08608882
"78261","Gaillon-sur-Montcient",10669.65205729
"78262","Galluis",2143.50963612
"78263","Gambais",1196.03993917
"78264","Gambaiseuil",1059.94874532
"78265","Garancieres",1643.91567142
"78267","Gargenville",13496.81515609
"78269","Gazeran",2211.74209225
"78276","Gommecourt",2852.36532069
"78278","Goupillieres",2929.98631685
"78281","Goussonville",8015.3198561
"78283","Grandchamp",479.61600551
"78285","Gressey",1131.78986793
"78289","Grosrouvre",1398.61166673
"78290","Guernes",10687.67679075
"78291","Guerville",12712.63775147
"78296","Guitrancourt",13354.27640347
"78297","Guyancourt",16966.69685925
"78299","Hardricourt",12071.66317066
"78300","Hargeville",3968.99260249
"78302","La Hauteville",402.49611094
"78305","Herbeville",6089.73893846
"78307","Hermeray",719.09077544
"78310","Houdan",985.12150261
"78311","Houilles",73409.11184021
"78314","Issou",14186.09137516
"78317","Jambville",6418.7063024
"78320","Jeufosse",2640.70835546
"78321","Jouars-Pontchartrain",12260.88093714
"78322","Jouy-en-Josas",21996.44072985
"78324","Jouy-Mauvoisin",11212.8816538
"78325","Jumeauville",5373.72296878
"78327","Juziers",12534.99022721
"78329","Lainville-en-Vexin",4363.75649577
"78334","Levis-Saint-Nom",9360.30962701
"78335","Limay",14467.75612688
"78337","Limetz-Villez",2330.30911279
"78343","Les Loges-en-Josas",17623.20398837
"78344","Lommoye",2176.82042609
"78346","Longnes",2187.19138024
"78349","Longvilliers",2565.133361
"78350","Louveciennes",27101.76238078
"78354","Magnanville",12858.88963981
"78356","Magny-les-Hameaux",13304.12990929
"78358","Maisons-Laffitte",52298.25820201
"78361","Mantes-la-Jolie",13603.07529065
"78362","Mantes-la-Ville",13950.2490146
"78364","Marcq",2940.87373915
"78366","Mareil-le-Guyon",6097.42533929
"78367","Mareil-Marly",20285.26206579
"78368","Mareil-sur-Mauldre",4658.76748266
"78372","Marly-le-Roi",22201.01221868
"78380","Maule",5560.45010389
"78381","Maulette",1030.37208736
"78382","Maurecourt",28723.29582098
"78383","Maurepas",13423.13966702
"78384","Medan",17916.32981237
"78385","Menerville",5581.14483943
"78389","Mere",3494.34326616
"78391","Mericourt",7396.49334129
"78396","Le Mesnil-le-Roi",39824.09015541
"78397","Le Mesnil-Saint-Denis",13113.47566449
