"ID","NAMES","agriculteurs_AsTheCowRolls_POT_20"
"77358","Penchard",330.09251449
"77359","Perthes",504.90968865
"77360","Pezarches",473.23298694
"77361","Pierre-Levee",434.40890254
"77363","Le Pin",602.39921523
"77364","Le Plessis-aux-Bois",244.04067884
"77365","Le Plessis-Feu-Aussoux",431.07476179
"77366","Le Plessis-l'Eveque",272.00967724
"77367","Le Plessis-Placy",194.96139958
"77368","Poigny",334.04599229
"77369","Poincy",329.23049464
"77370","Poligny",287.1439794
"77371","Pommeuse",418.15367978
"77372","Pomponne",555.33728093
"77373","Pontault-Combault",830.44256184
"77374","Pontcarre",750.96093706
"77376","Precy-sur-Marne",296.26746738
"77377","Presles-en-Brie",412.91760364
"77378","Pringy",347.86729302
"77379","Provins",394.38275536
"77380","Puisieux",162.40893675
"77381","Quiers",331.05063307
"77382","Quincy-Voisins",489.43093614
"77383","Rampillon",289.8760512
"77384","Reau",444.45592582
"77385","Rebais",360.03310077
"77386","Recloses",297.55414008
"77387","Remauville",283.65257513
"77388","Reuil-en-Brie",324.20234982
"77389","La Rochette",332.48433475
"77390","Roissy-en-Brie",664.50379152
"77391","Rouilly",320.34352701
"77392","Rouvres",258.11033082
"77393","Rozay-en-Brie",507.7445338
"77394","Rubelles",393.30693678
"77395","Rumont",256.49901418
"77396","Rupereux",282.80878844
"77397","Saacy-sur-Marne",229.58641576
"77398","Sablonnieres",237.85624429
"77399","Saint-Ange-le-Viel",240.8543525
"77400","Saint-Augustin",384.88802507
"77401","Sainte-Aulde",244.08021974
"77402","Saint-Barthelemy",241.64613286
"77403","Saint-Brice",337.03374732
"77404","Sainte-Colombe",349.15027273
"77405","Saint-Cyr-sur-Morin",264.83222993
"77406","Saint-Denis-les-Rebais",342.64588015
"77407","Saint-Fargeau-Ponthierry",426.01411333
"77408","Saint-Fiacre",362.33250227
"77409","Saint-Germain-Laval",289.23166874
"77410","Saint-Germain-Laxis",399.40461909
"77411","Saint-Germain-sous-Doue",264.42428956
"77412","Saint-Germain-sur-Ecole",423.44534514
"77413","Saint-Germain-sur-Morin",497.63003036
"77414","Saint-Hilliers",341.00223812
"77415","Saint-Jean-les-Deux-Jumeaux",400.97367304
"77416","Saint-Just-en-Brie",275.18156122
"77417","Saint-Leger",255.74151706
"77418","Saint-Loup-de-Naud",319.03701074
"77419","Saint-Mammes",275.31294406
"77420","Saint-Mard",343.90397653
"77421","Saint-Mars-Vieux-Maisons",319.56487053
"77423","Saint-Martin-des-Champs",280.89152173
"77424","Saint-Martin-du-Boschet",217.66321499
"77425","Saint-Martin-en-Biere",347.47922717
"77426","Saint-Mery",251.76126365
"77427","Saint-Mesmes",308.24863984
"77428","Saint-Ouen-en-Brie",273.44181704
"77429","Saint-Ouen-sur-Morin",260.84206945
"77430","Saint-Pathus",164.84921011
"77431","Saint-Pierre-les-Nemours",400.49180069
"77432","Saint-Remy-la-Vanne",385.09190893
"77433","Saints",403.88764568
"77434","Saint-Sauveur-les-Bray",243.78859895
"77435","Saint-Sauveur-sur-Ecole",369.89758095
"77436","Saint-Simeon",402.82848101
"77437","Saint-Soupplets",252.7328877
"77438","Saint-Thibault-des-Vignes",671.12175376
"77439","Salins",283.62200954
"77440","Sammeron",429.69783931
"77441","Samois-sur-Seine",218.89866441
"77442","Samoreau",297.08259712
"77443","Sancy",372.26364657
"77444","Sancy-les-Provins",308.13008912
"77445","Savigny-le-Temple",393.15009499
"77446","Savins",310.79959619
"77447","Seine-Port",355.39278885
"77448","Sept-Sorts",374.07572964
"77449","Serris",573.96553761
"77450","Servon",655.24968273
"77451","Signy-Signets",346.81720733
"77452","Sigy",302.08829227
"77453","Sivry-Courtry",278.93913829
"77454","Sognolles-en-Montois",283.56866887
"77455","Soignolles-en-Brie",403.430948
"77456","Soisy-Bouy",268.67404824
"77457","Solers",405.06509887
"77458","Souppes-sur-Loing",303.49763158
"77459","Sourdun",351.63581667
"77460","Tancrou",254.97041177
"77461","Thenisy",300.39499897
"77462","Thieux",370.46918693
"77463","Thomery",261.79041182
"77464","Thorigny-sur-Marne",449.85856404
"77465","Thoury-Ferottes",245.85291568
"77466","Tigeaux",440.89402074
"77467","La Tombe",265.38437403
"77468","Torcy",833.81805926
"77469","Touquin",472.65388742
"77470","Tournan-en-Brie",532.12978683
"77471","Tousson",322.95221839
"77472","La Tretoire",267.73557155
"77473","Treuzy-Levelay",306.10540804
"77474","Trilbardou",368.3948042
"77475","Trilport",373.52088936
"77476","Trocy-en-Multien",222.96160776
"77477","Ury",433.8783619
"77478","Ussy-sur-Marne",398.11757488
"77479","Vaires-sur-Marne",597.73756929
"77480","Valence-en-Brie",249.713377
"77481","Vanville",319.10129247
"77482","Varennes-sur-Seine",291.59608081
"77483","Varreddes",301.07126753
"77484","Vaucourtois",372.17660759
"77485","Le Vaudoue",331.83088315
"77486","Vaudoy-en-Brie",503.4777659
"77487","Vaux-le-Penil",303.51444811
"77489","Vaux-sur-Lunain",208.10640798
"77490","Vendrest",176.21071597
"77491","Veneux-les-Sablons",271.01692023
"77492","Verdelot",181.01202383
"77493","Verneuil-l'Etang",372.36777135
"77494","Vernou-la-Celle-sur-Seine",209.77920642
"77495","Vert-Saint-Denis",423.13771651
"77496","Vieux-Champagne",293.20970627
"77498","Vignely",350.34801926
"77500","Villebeon",212.47002851
"77501","Villecerf",329.93621098
"77504","Villemarechal",266.3859615
"77505","Villemareuil",392.02855424
"77506","Villemer",344.95440194
"77507","Villenauxe-la-Petite",206.7725756
"77508","Villeneuve-le-Comte",612.76981551
"77509","Villeneuve-les-Bordes",287.09862755
"77510","Villeneuve-Saint-Denis",590.20254899
"77511","Villeneuve-sous-Dammartin",341.68160333
"77512","Villeneuve-sur-Bellot",169.28021222
"77513","Villenoy",425.90659386
"77514","Villeparisis",763.78811799
"77515","Villeroy",310.05063819
"77516","Ville-Saint-Jacques",300.30019307
"77517","Villevaude",572.87444419
"77518","Villiers-en-Biere",371.53826091
"77519","Villiers-Saint-Georges",267.47043553
"77520","Villiers-sous-Grez",339.3552608
"77521","Villiers-sur-Morin",524.35620317
"77522","Villiers-sur-Seine",222.13343537
"77523","Villuis",179.32584246
"77524","Vimpelles",246.07004765
"77525","Vinantes",211.31961515
"77526","Vincy-Manoeuvre",117.56430499
"77527","Voinsles",420.95224231
"77528","Voisenon",402.99278168
"77529","Voulangis",459.13116046
"77530","Voulton",274.72658624
"77531","Voulx",231.93691674
"77532","Vulaines-les-Provins",360.98045953
"77533","Vulaines-sur-Seine",284.55058812
"77534","Yebles",398.13013455
"78003","Ablis",254.54918365
"78005","Acheres",886.46143162
