"ID","NAMES","artisans_AsTheCrowFlies_POT_10000"
"77406","Saint-Denis-les-Rebais",1144.07081033
"77407","Saint-Fargeau-Ponthierry",5321.62948924
"77408","Saint-Fiacre",2810.14396851
"77409","Saint-Germain-Laval",873.6712822
"77410","Saint-Germain-Laxis",3289.23760366
"77411","Saint-Germain-sous-Doue",1352.43725158
"77412","Saint-Germain-sur-Ecole",2981.94528584
"77413","Saint-Germain-sur-Morin",4439.04876934
"77414","Saint-Hilliers",504.99978546
"77415","Saint-Jean-les-Deux-Jumeaux",1886.88168047
"77416","Saint-Just-en-Brie",531.71444363
"77417","Saint-Leger",841.15293822
"77418","Saint-Loup-de-Naud",696.07690426
"77419","Saint-Mammes",1822.3474175
"77420","Saint-Mard",2198.47870906
"77421","Saint-Mars-Vieux-Maisons",505.97783401
"77423","Saint-Martin-des-Champs",571.37779095
"77424","Saint-Martin-du-Boschet",245.67277775
"77425","Saint-Martin-en-Biere",2294.627292
"77426","Saint-Mery",1243.88822804
"77427","Saint-Mesmes",4133.0183575
"77428","Saint-Ouen-en-Brie",786.41060578
"77429","Saint-Ouen-sur-Morin",977.42369841
"77430","Saint-Pathus",946.37149434
"77431","Saint-Pierre-les-Nemours",1110.74702136
"77432","Saint-Remy-la-Vanne",961.30532529
"77433","Saints",1297.88317505
"77434","Saint-Sauveur-les-Bray",506.29913026
"77435","Saint-Sauveur-sur-Ecole",3933.52122256
"77436","Saint-Simeon",1131.52952781
"77437","Saint-Soupplets",1567.66087987
"77438","Saint-Thibault-des-Vignes",14492.72095206
"77439","Salins",771.61694345
"77440","Sammeron",1358.6322305
"77441","Samois-sur-Seine",2449.04794761
"77442","Samoreau",2123.51784919
"77443","Sancy",2681.87737622
"77444","Sancy-les-Provins",294.88743787
"77445","Savigny-le-Temple",6279.65786625
"77446","Savins",686.09358957
"77447","Seine-Port",5602.56357698
"77448","Sept-Sorts",1160.45730397
"77449","Serris",5649.96176893
"77450","Servon",12468.18943429
"77451","Signy-Signets",1558.39968809
"77452","Sigy",588.48471971
"77453","Sivry-Courtry",2496.51752455
"77454","Sognolles-en-Montois",634.20859675
"77455","Soignolles-en-Brie",3156.26654609
"77456","Soisy-Bouy",657.11969216
"77457","Solers",2858.25290294
"77458","Souppes-sur-Loing",719.67902901
"77459","Sourdun",535.89329724
"77460","Tancrou",974.99016977
"77461","Thenisy",632.03622921
"77462","Thieux",4586.81436687
"77463","Thomery",2018.91352949
"77464","Thorigny-sur-Marne",9646.82463077
"77465","Thoury-Ferottes",788.94263336
"77466","Tigeaux",2803.28629773
"77467","La Tombe",547.04372093
"77468","Torcy",18280.18241195
"77469","Touquin",1122.8218413
"77470","Tournan-en-Brie",3290.27854833
"77471","Tousson",843.74156824
"77472","La Tretoire",881.27061584
"77473","Treuzy-Levelay",1148.78976618
"77474","Trilbardou",4010.44212107
"77475","Trilport",2400.5075133
"77476","Trocy-en-Multien",1159.03895495
"77477","Ury",1250.12839881
"77478","Ussy-sur-Marne",1210.00643269
"77479","Vaires-sur-Marne",20856.26071009
"77480","Valence-en-Brie",1298.95911432
"77481","Vanville",596.9837328
"77482","Varennes-sur-Seine",1196.29896281
"77483","Varreddes",2000.69085598
"77484","Vaucourtois",2826.42932267
"77485","Le Vaudoue",985.03934363
"77486","Vaudoy-en-Brie",749.01870436
"77487","Vaux-le-Penil",3400.72131473
"77489","Vaux-sur-Lunain",369.0397806
"77490","Vendrest",532.09195017
"77491","Veneux-les-Sablons",1891.64538827
"77492","Verdelot",372.43911416
"77493","Verneuil-l'Etang",1423.48745142
"77494","Vernou-la-Celle-sur-Seine",1676.91791309
"77495","Vert-Saint-Denis",4889.56869086
"77496","Vieux-Champagne",573.35854438
"77498","Vignely",4298.95573802
"77500","Villebeon",384.60386141
"77501","Villecerf",1380.34680253
"77504","Villemarechal",870.24924522
"77505","Villemareuil",2463.26697233
"77506","Villemer",1265.57774721
"77507","Villenauxe-la-Petite",302.11355876
"77508","Villeneuve-le-Comte",3630.9615496
"77509","Villeneuve-les-Bordes",624.29233371
"77510","Villeneuve-Saint-Denis",4929.23167175
"77511","Villeneuve-sous-Dammartin",4239.45338502
"77512","Villeneuve-sur-Bellot",512.15842678
"77513","Villenoy",3670.66845243
"77514","Villeparisis",16429.26383855
"77515","Villeroy",3100.42356558
"77516","Ville-Saint-Jacques",1271.64062696
"77517","Villevaude",13923.04625773
"77518","Villiers-en-Biere",3885.87084523
"77519","Villiers-Saint-Georges",263.03891293
"77520","Villiers-sous-Grez",1284.07630676
"77521","Villiers-sur-Morin",3661.87518248
"77522","Villiers-sur-Seine",345.02508657
"77523","Villuis",253.28294726
"77524","Vimpelles",531.29282918
"77525","Vinantes",2791.95211761
"77526","Vincy-Manoeuvre",631.48351358
"77527","Voinsles",827.45012075
"77528","Voisenon",4145.34416016
"77529","Voulangis",3184.13235817
"77530","Voulton",477.74064046
"77531","Voulx",614.7889635
"77532","Vulaines-les-Provins",661.89736533
"77533","Vulaines-sur-Seine",2182.2412586
"77534","Yebles",2020.89146628
"78003","Ablis",672.19632659
"78005","Acheres",17667.99036931
"78006","Adainville",870.23911349
