"ID","NAMES","intermediaires_AsTheCrowFlies_ACC_0.01"
"77384","Reau",6193.31238038033
"77385","Rebais",20132.6842880083
"77386","Recloses",14715.4982238466
"77387","Remauville",22132.9864298866
"77388","Reuil-en-Brie",17744.958215381
"77389","La Rochette",6968.10108473095
"77390","Roissy-en-Brie",4712.64179075411
"77391","Rouilly",26069.0760281771
"77392","Rouvres",11315.1628973963
"77393","Rozay-en-Brie",15504.1239879823
"77394","Rubelles",6813.80342158115
"77395","Rumont",20639.6650488602
"77396","Rupereux",26738.7997998427
"77397","Saacy-sur-Marne",20141.7926184092
"77398","Sablonnieres",23015.4045129497
"77399","Saint-Ange-le-Viel",19929.0624473875
"77400","Saint-Augustin",14269.8490193646
"77401","Sainte-Aulde",19866.708665366
"77402","Saint-Barthelemy",26450.4067062711
"77403","Saint-Brice",28239.9012128214
"77404","Sainte-Colombe",25827.1024088978
"77405","Saint-Cyr-sur-Morin",17448.4591300008
"77406","Saint-Denis-les-Rebais",18663.1066244411
"77407","Saint-Fargeau-Ponthierry",6503.16011159787
"77408","Saint-Fiacre",9621.73695752685
"77409","Saint-Germain-Laval",17640.9070312492
"77410","Saint-Germain-Laxis",8221.77309802185
"77411","Saint-Germain-sous-Doue",16108.7939123899
"77412","Saint-Germain-sur-Ecole",9800.52619856194
"77413","Saint-Germain-sur-Morin",7345.17900720083
"77414","Saint-Hilliers",24324.97398846
"77415","Saint-Jean-les-Deux-Jumeaux",11921.5290317423
"77416","Saint-Just-en-Brie",20342.3246150556
"77417","Saint-Leger",21982.6690937922
"77418","Saint-Loup-de-Naud",24192.4441525714
"77419","Saint-Mammes",12847.6116023096
"77420","Saint-Mard",9962.61347339696
"77421","Saint-Mars-Vieux-Maisons",25108.4566606841
"77423","Saint-Martin-des-Champs",25240.8557973273
"77424","Saint-Martin-du-Boschet",30045.0110065326
"77425","Saint-Martin-en-Biere",11149.3715259162
"77426","Saint-Mery",12669.7151967316
"77427","Saint-Mesmes",8323.86486017956
"77428","Saint-Ouen-en-Brie",15239.1081168744
"77429","Saint-Ouen-sur-Morin",18636.8467696875
"77430","Saint-Pathus",13078.9068048659
"77431","Saint-Pierre-les-Nemours",18743.9008686918
"77432","Saint-Remy-la-Vanne",20911.2888107639
"77433","Saints",15761.5597365979
"77434","Saint-Sauveur-les-Bray",25214.0173181083
"77435","Saint-Sauveur-sur-Ecole",8248.78990290924
"77436","Saint-Simeon",19085.095305592
"77437","Saint-Soupplets",11302.3028119728
"77438","Saint-Thibault-des-Vignes",4005.43996801171
"77439","Salins",18101.3720430697
"77440","Sammeron",13727.0080179469
"77441","Samois-sur-Seine",10181.757526109
"77442","Samoreau",11312.6493357279
"77443","Sancy",10257.5931639756
"77444","Sancy-les-Provins",28566.1350620928
"77445","Savigny-le-Temple",5372.42947992624
"77446","Savins",24019.4650921452
"77447","Seine-Port",5813.19369491202
"77448","Sept-Sorts",14873.2116586412
"77449","Serris",6219.89323802447
"77450","Servon",5404.71757390929
"77451","Signy-Signets",12957.5703793826
"77452","Sigy",22899.1892537461
"77453","Sivry-Courtry",9577.19505732446
"77454","Sognolles-en-Montois",21996.7881267844
"77455","Soignolles-en-Brie",9068.99806269975
"77456","Soisy-Bouy",27952.849353637
"77457","Solers",9655.22985933469
"77458","Souppes-sur-Loing",24349.6450993597
"77459","Sourdun",30135.2245973398
"77460","Tancrou",15893.9783815504
"77461","Thenisy",23209.7208676238
"77462","Thieux",7914.32576259957
"77463","Thomery",11873.7911244435
"77464","Thorigny-sur-Marne",5310.27090104483
"77465","Thoury-Ferottes",19536.067144847
"77466","Tigeaux",10075.1245198702
"77467","La Tombe",21801.152724295
"77468","Torcy",3530.23806079001
"77469","Touquin",15796.3533302518
"77470","Tournan-en-Brie",9279.21166258971
"77471","Tousson",17084.5919829402
"77472","La Tretoire",20691.9269907238
"77473","Treuzy-Levelay",17781.0594208915
"77474","Trilbardou",7980.82230408019
"77475","Trilport",10435.0181019623
"77476","Trocy-en-Multien",14210.5480860738
"77477","Ury",15266.0609817761
"77478","Ussy-sur-Marne",14547.4631891041
"77479","Vaires-sur-Marne",3414.99627570633
"77480","Valence-en-Brie",13723.0722310032
"77481","Vanville",20572.6715072416
"77482","Varennes-sur-Seine",16273.4762995576
"77483","Varreddes",11312.15036875
"77484","Vaucourtois",9850.92686802916
"77485","Le Vaudoue",16060.2419655432
"77486","Vaudoy-en-Brie",18003.9556635991
"77487","Vaux-le-Penil",7424.5877491765
"77489","Vaux-sur-Lunain",25194.7420512932
"77490","Vendrest",18892.8620767804
"77491","Veneux-les-Sablons",12694.8098912957
"77492","Verdelot",26596.6597068701
"77493","Verneuil-l'Etang",12735.0772866103
"77494","Vernou-la-Celle-sur-Seine",13099.8755856621
"77495","Vert-Saint-Denis",5527.46951933794
"77496","Vieux-Champagne",20986.8075983362
"77498","Vignely",7536.16164484475
"77500","Villebeon",25351.3424737263
"77501","Villecerf",15313.4109321213
"77504","Villemarechal",19003.3313369735
"77505","Villemareuil",10507.9935285057
"77506","Villemer",16146.6312741157
"77507","Villenauxe-la-Petite",30904.391623155
"77508","Villeneuve-le-Comte",8679.67468160111
"77509","Villeneuve-les-Bordes",18095.0816768064
"77510","Villeneuve-Saint-Denis",7418.35572978631
"77511","Villeneuve-sous-Dammartin",8025.41571499947
"77512","Villeneuve-sur-Bellot",25035.3278387448
"77513","Villenoy",7750.32268252282
"77514","Villeparisis",4438.77368308965
"77515","Villeroy",9012.40542838367
"77516","Ville-Saint-Jacques",15988.3656528785
"77517","Villevaude",5045.08602839017
"77518","Villiers-en-Biere",7670.33667527747
"77519","Villiers-Saint-Georges",30091.9245799062
"77520","Villiers-sous-Grez",16029.5453420378
"77521","Villiers-sur-Morin",8533.57349812236
"77522","Villiers-sur-Seine",32667.6749542756
"77523","Villuis",32858.5934470523
"77524","Vimpelles",23455.5399939135
"77525","Vinantes",9302.68601040846
"77526","Vincy-Manoeuvre",16217.9097003727
"77527","Voinsles",16818.3122635834
"77528","Voisenon",6367.24365763177
"77529","Voulangis",9352.20916905412
"77530","Voulton",27818.9769596701
"77531","Voulx",21232.0137238007
"77532","Vulaines-les-Provins",23891.4728870943
"77533","Vulaines-sur-Seine",11007.8887343706
"77534","Yebles",10792.7357021467
"78003","Ablis",17627.2329187002
"78005","Acheres",3835.71829747672
"78006","Adainville",16533.2401110387
"78007","Aigremont",5606.24115948137
"78009","Allainville",18635.884995623
"78010","Les Alluets-le-Roi",7614.3266330838
"78013","Andelu",9567.03832179959
"78015","Andresy",3905.29591259979
"78020","Arnouville-les-Mantes",9901.49107543745
"78029","Aubergenville",7407.53071603735
"78030","Auffargis",9451.19600515575
"78031","Auffreville-Brasseuil",8183.90340226449
"78033","Aulnay-sur-Mauldre",8247.36893751936
"78034","Auteuil",9583.15556530704
"78036","Autouillet",10257.7051210774
"78043","Bailly",3917.4739488685
"78048","Bazainville",14609.0547726325
"78049","Bazemont",7820.44695622622
"78050","Bazoches-sur-Guyonne",7940.57585836942
"78053","Behoust",12374.9319510314
"78057","Bennecourt",14730.72803199
"78062","Beynes",8265.2529703728
"78068","Blaru",19560.5726941768
"78070","Boinville-en-Mantois",8760.86826122887
"78071","Boinville-le-Gaillard",18356.9874385832
"78072","Boinvilliers",10690.9162018521
"78073","Bois-d'Arcy",3635.54009206056
"78076","Boissets",15845.4919369613
"78077","La Boissiere-Ecole",17207.9914706142
"78082","Boissy-Mauvoisin",12630.2475892131
"78084","Boissy-sans-Avoir",10210.2493341456
"78087","Bonnelles",10417.0937159432
"78089","Bonnieres-sur-Seine",13734.7642462393
"78090","Bouafle",6675.52618797562
"78092","Bougival",2977.56849871845
"78096","Bourdonne",16112.514111569
"78104","Breuil-Bois-Robert",8470.33883488514
"78107","Breval",15070.4933412501
"78108","Les Breviaires",10338.4017625785
"78113","Brueil-en-Vexin",8354.81362421134
"78117","Buc",4171.3231257268
"78118","Buchelay",8278.71723538283
"78120","Bullion",10872.1518128683
"78123","Carrieres-sous-Poissy",4534.07260732702
"78124","Carrieres-sur-Seine",2384.87218261389
"78125","La Celle-les-Bordes",10708.6894395589
"78126","La Celle-Saint-Cloud",3104.59114057793
"78128","Cernay-la-Ville",9406.10367628994
"78133","Chambourcy",5313.97239718762
"78138","Chanteloup-les-Vignes",4132.30098426096
"78140","Chapet",5732.80224810787
"78143","Chateaufort",5324.4952816253
"78146","Chatou",2775.47152852166
"78147","Chaufour-les-Bonnieres",18661.3470677727
"78152","Chavenay",5620.11682473353
"78158","Le Chesnay",3093.86727070375
"78160","Chevreuse",6884.17318573444
"78162","Choisel",8633.78564650505
"78163","Civry-la-Foret",14597.7996397022
"78164","Clairefontaine-en-Yvelines",12366.9129961075
"78165","Les Clayes-sous-Bois",4217.3189334267
"78168","Coignieres",6188.60586968967
"78171","Conde-sur-Vesgre",15759.7631714772
"78172","Conflans-Sainte-Honorine",3480.66531853363
"78185","Courgent",11904.6893714048
"78188","Cravent",18355.3608388515
"78189","Crespieres",7671.49311991459
"78190","Croissy-sur-Seine",2943.57287506412
"78192","Dammartin-en-Serve",12612.2832118157
"78193","Dampierre-en-Yvelines",7682.01804028495
"78194","Dannemarie",17774.6763934767
"78196","Davron",6704.17803757467
"78202","Drocourt",9747.98474870158
"78206","Ecquevilly",6628.8729444783
"78208","Elancourt",3917.08703802273
"78209","Emance",18378.6257845063
"78217","Epone",7892.20092875838
"78220","Les Essarts-le-Roi",8173.84647869538
"78224","L'Etang-la-Ville",4966.12316813889
"78227","Evecquemont",5750.34731007622
"78230","La Falaise",8145.53502342975
"78231","Favrieux",10350.4134851724
"78233","Feucherolles",6401.18257997173
"78234","Flacourt",10819.4006436259
"78236","Flexanville",11343.4593272311
"78237","Flins-Neuve-Eglise",15070.2330541045
"78238","Flins-sur-Seine",6996.90408157306
"78239","Follainville-Dennemont",8525.72492378715
"78242","Fontenay-le-Fleury",3809.89595082029
"78245","Fontenay-Mauvoisin",9576.13436753744
"78246","Fontenay-Saint-Pere",8473.58831769793
"78251","Fourqueux",5034.8387205978
"78255","Freneuse",12927.9132949409
"78261","Gaillon-sur-Montcient",7413.26162827484
"78262","Galluis",10376.8003109316
"78263","Gambais",14838.009542227
"78264","Gambaiseuil",13177.4214812746
"78265","Garancieres",11374.8747119821
"78267","Gargenville",7359.37069511768
"78269","Gazeran",15080.3215481267
"78276","Gommecourt",14866.1863490709
"78278","Goupillieres",10357.0322008996
"78281","Goussonville",8852.93369611516
"78283","Grandchamp",18589.1376742186
"78285","Gressey",16117.2451821881
"78289","Grosrouvre",11684.5072802092
"78290","Guernes",9904.98199376566
"78291","Guerville",7755.53827545693
"78296","Guitrancourt",7585.08135333024
"78297","Guyancourt",3706.43947689405
"78299","Hardricourt",7049.40341434782
"78300","Hargeville",10202.9631510679
"78302","La Hauteville",18441.6952354329
"78305","Herbeville",8113.28897857637
"78307","Hermeray",17599.7892288445
"78310","Houdan",17411.2692526016
"78311","Houilles",2262.75726560344
"78314","Issou",7203.30398714309
"78317","Jambville",8960.122996685
"78320","Jeufosse",16138.8022250932
"78321","Jouars-Pontchartrain",5405.26918495322
