"ID","NAMES","ouvrier_AsTheCowRolls_ACC_0.05"
"77522","Villiers-sur-Seine",44.9280792576488
"77523","Villuis",45.2929917015495
"77524","Vimpelles",41.9999021130831
"77525","Vinantes",20.6865771425322
"77526","Vincy-Manoeuvre",30.6719842234264
"77527","Voinsles",26.0975987428712
"77528","Voisenon",16.7264563572232
"77529","Voulangis",19.4940004188187
"77530","Voulton",42.4068704516087
"77531","Voulx",39.8605468919359
"77532","Vulaines-les-Provins",37.2450078831634
"77533","Vulaines-sur-Seine",26.0039863628286
"77534","Yebles",20.5338365333212
"78003","Ablis",26.1855554154936
"78005","Acheres",13.8259622510048
"78006","Adainville",31.1377423681345
"78007","Aigremont",13.5307600780605
"78009","Allainville",26.9337840878131
"78010","Les Alluets-le-Roi",17.8989210400256
"78013","Andelu",23.1399962265868
"78015","Andresy",14.6064271620642
"78020","Arnouville-les-Mantes",25.5349427385062
"78029","Aubergenville",16.6173655620738
"78030","Auffargis",21.9706850057927
"78031","Auffreville-Brasseuil",21.491292985701
"78033","Aulnay-sur-Mauldre",20.1582622697142
"78034","Auteuil",22.2572301358459
"78036","Autouillet",23.814937603776
"78043","Bailly",13.0484759628282
"78048","Bazainville",24.4244538643135
"78049","Bazemont",21.0549693920032
"78050","Bazoches-sur-Guyonne",20.1268871504626
"78053","Behoust",25.2962948327493
"78057","Bennecourt",26.4882760177698
"78062","Beynes",20.5132427210468
"78068","Blaru",30.106955959337
"78070","Boinville-en-Mantois",23.7198625968758
"78071","Boinville-le-Gaillard",28.5595233018721
"78072","Boinvilliers",25.9669501818672
"78073","Bois-d'Arcy",13.3633700034318
"78076","Boissets",32.0571577988973
"78077","La Boissiere-Ecole",35.3424677352178
"78082","Boissy-Mauvoisin",27.4011290264333
"78084","Boissy-sans-Avoir",22.0522802422943
"78087","Bonnelles",21.1112609194962
"78089","Bonnieres-sur-Seine",26.8996211963311
"78090","Bouafle",16.0139790384402
"78092","Bougival",11.0572950547637
"78096","Bourdonne",27.3240976725115
"78104","Breuil-Bois-Robert",22.4240166053369
"78107","Breval",30.3643480602484
"78108","Les Breviaires",25.7607852348311
"78113","Brueil-en-Vexin",20.9431844601249
"78117","Buc",14.4195931827242
"78118","Buchelay",21.1484745062547
"78120","Bullion",22.3256741951572
"78123","Carrieres-sous-Poissy",13.5176567723849
"78124","Carrieres-sur-Seine",9.59881045475714
"78125","La Celle-les-Bordes",24.7657299867413
"78126","La Celle-Saint-Cloud",11.1095468758992
"78128","Cernay-la-Ville",22.2891096767963
"78133","Chambourcy",13.4670235489817
"78138","Chanteloup-les-Vignes",14.8707174653971
"78140","Chapet",16.2086427059459
"78143","Chateaufort",15.5125201422822
"78146","Chatou",10.2546625017213
"78147","Chaufour-les-Bonnieres",26.7638043390311
"78152","Chavenay",16.5536873768892
"78158","Le Chesnay",11.7611065107128
"78160","Chevreuse",20.1878696146508
"78162","Choisel",21.1371844984129
"78163","Civry-la-Foret",29.7079909286309
"78164","Clairefontaine-en-Yvelines",22.6986823448587
"78165","Les Clayes-sous-Bois",16.3635848919752
"78168","Coignieres",18.7350928523353
"78171","Conde-sur-Vesgre",28.9343694761146
"78172","Conflans-Sainte-Honorine",11.9774620544602
"78185","Courgent",26.4354635183479
"78188","Cravent",29.9907585938844
"78189","Crespieres",17.7829327351489
"78190","Croissy-sur-Seine",11.4582693491832
"78192","Dammartin-en-Serve",29.0905881272414
"78193","Dampierre-en-Yvelines",20.995050717089
"78194","Dannemarie",28.0361535508521
"78196","Davron",17.4031303886029
"78202","Drocourt",23.8295712228764
"78206","Ecquevilly",16.173742244866
"78208","Elancourt",17.1919668232122
"78209","Emance",32.3488859616321
"78217","Epone",17.4684801992009
"78220","Les Essarts-le-Roi",20.5166388033269
"78224","L'Etang-la-Ville",13.9433485313792
"78227","Evecquemont",16.6520255922038
"78230","La Falaise",18.6136680649794
"78231","Favrieux",23.4379466254247
"78233","Feucherolles",15.8844996161048
"78234","Flacourt",26.4342267748773
"78236","Flexanville",26.608715058078
"78237","Flins-Neuve-Eglise",30.4107205122431
"78238","Flins-sur-Seine",15.9812932147393
"78239","Follainville-Dennemont",25.1997972043934
"78242","Fontenay-le-Fleury",14.8273097646457
"78245","Fontenay-Mauvoisin",23.4455520362317
"78246","Fontenay-Saint-Pere",24.1162117092067
"78251","Fourqueux",13.9342213186506
"78255","Freneuse",27.2857987853994
"78261","Gaillon-sur-Montcient",17.8517054599942
"78262","Galluis",20.6677277574687
"78263","Gambais",25.7496808367332
"78264","Gambaiseuil",26.8238218516563
"78265","Garancieres",23.5391881510056
"78267","Gargenville",18.2206869532372
"78269","Gazeran",28.1022935530826
"78276","Gommecourt",31.0299518792323
"78278","Goupillieres",25.9423045316611
"78281","Goussonville",23.5185582893301
"78283","Grandchamp",33.3986877609161
"78285","Gressey",29.6192015901242
"78289","Grosrouvre",25.1364642151037
"78290","Guernes",28.0695532636296
"78291","Guerville",24.0577133739017
"78296","Guitrancourt",21.7841669149192
"78297","Guyancourt",15.2030743560655
"78299","Hardricourt",16.6887046595787
"78300","Hargeville",26.0665288324326
