"ID","NAMES","total_AsTheCrowFlies_ACC_0.05"
"77444","Sancy-les-Provins",42427.880083167
"77445","Savigny-le-Temple",13667.104162447
"77446","Savins",38364.5992397125
"77447","Seine-Port",15056.5522241296
"77448","Sept-Sorts",29197.0168957255
"77449","Serris",14309.1125499727
"77450","Servon",10308.8304494605
"77451","Signy-Signets",26888.3314513364
"77452","Sigy",38036.4472890397
"77453","Sivry-Courtry",21312.3932776676
"77454","Sognolles-en-Montois",35955.3342982156
"77455","Soignolles-en-Brie",15894.3389603361
"77456","Soisy-Bouy",42504.3289912347
"77457","Solers",16137.0097252612
"77458","Souppes-sur-Loing",41732.8887242419
"77459","Sourdun",44333.0023319124
"77460","Tancrou",29453.7755992056
"77461","Thenisy",37949.7930341371
"77462","Thieux",13606.5825035183
"77463","Thomery",28118.4356088113
"77464","Thorigny-sur-Marne",11345.9475846965
"77465","Thoury-Ferottes",38757.3718875362
"77466","Tigeaux",19118.8896454712
"77467","La Tombe",38970.1960971853
"77468","Torcy",8660.73448732754
"77469","Touquin",25837.4791781623
"77470","Tournan-en-Brie",15872.2347626876
"77471","Tousson",27779.2744477599
"77472","La Tretoire",35133.0767879078
"77473","Treuzy-Levelay",36715.489949232
"77474","Trilbardou",16098.7109238611
"77475","Trilport",23206.3714868128
"77476","Trocy-en-Multien",25706.2837331938
"77477","Ury",28722.6154494336
"77478","Ussy-sur-Marne",28578.0512574547
"77479","Vaires-sur-Marne",8178.06662531852
"77480","Valence-en-Brie",29279.994459075
"77481","Vanville",33343.4381883656
"77482","Varennes-sur-Seine",34447.6913709065
"77483","Varreddes",22998.7947963748
"77484","Vaucourtois",21730.5810709919
"77485","Le Vaudoue",27682.1178035582
"77486","Vaudoy-en-Brie",28635.4282096698
"77487","Vaux-le-Penil",19944.3478387339
"77489","Vaux-sur-Lunain",44113.6860936765
"77490","Vendrest",31818.6389713486
"77491","Veneux-les-Sablons",29926.781545672
"77492","Verdelot",40674.6642495837
"77493","Verneuil-l'Etang",20520.6082123442
"77494","Vernou-la-Celle-sur-Seine",30130.1481044054
"77495","Vert-Saint-Denis",15879.3709698022
"77496","Vieux-Champagne",33356.4691807706
"77498","Vignely",16167.3789331754
"77500","Villebeon",44203.1833256933
"77501","Villecerf",34447.2462523017
"77504","Villemarechal",38475.6279511747
"77505","Villemareuil",23259.6292325669
"77506","Villemer",35440.6164003292
"77507","Villenauxe-la-Petite",46788.7031504269
"77508","Villeneuve-le-Comte",16765.1919285582
"77509","Villeneuve-les-Bordes",32101.5153451257
"77510","Villeneuve-Saint-Denis",14997.4384630222
"77511","Villeneuve-sous-Dammartin",13825.1027080578
"77512","Villeneuve-sur-Bellot",39121.1463891805
"77513","Villenoy",17909.3851862865
"77514","Villeparisis",9199.11038768544
"77515","Villeroy",16396.3249326438
"77516","Ville-Saint-Jacques",34888.8447969005
"77517","Villevaude",9925.97264662668
"77518","Villiers-en-Biere",18934.1511742119
"77519","Villiers-Saint-Georges",43832.2269812857
"77520","Villiers-sous-Grez",31079.5365269743
"77521","Villiers-sur-Morin",17745.5865545834
"77522","Villiers-sur-Seine",47668.9165989677
"77523","Villuis",48435.1033825947
"77524","Vimpelles",39292.3054335847
"77525","Vinantes",15757.4164759715
"77526","Vincy-Manoeuvre",26936.8303632383
"77527","Voinsles",26317.1819258111
"77528","Voisenon",17028.3426716148
"77529","Voulangis",18606.7720122985
"77530","Voulton",41497.6594237454
"77531","Voulx",40383.9810852018
"77532","Vulaines-les-Provins",37481.4189367486
"77533","Vulaines-sur-Seine",26292.6675432177
"77534","Yebles",18236.1576429152
"78003","Ablis",27233.8809008426
"78005","Acheres",8483.27836351617
"78006","Adainville",26935.2731404702
"78007","Aigremont",10379.8917496202
"78009","Allainville",28714.7869681254
"78010","Les Alluets-le-Roi",13583.8244462579
"78013","Andelu",17434.4841124276
"78015","Andresy",9720.29789010343
"78020","Arnouville-les-Mantes",21229.483750267
"78029","Aubergenville",16236.7742912162
"78030","Auffargis",18344.3854771645
"78031","Auffreville-Brasseuil",22349.3907619584
"78033","Aulnay-sur-Mauldre",16232.8483177616
"78034","Auteuil",17570.3449075031
"78036","Autouillet",18307.4371828602
"78043","Bailly",8198.72519667099
"78048","Bazainville",24625.0290930911
"78049","Bazemont",15120.2051014036
