"ID","NAMES","total_AsTheCrowFlies_POT_7500"
"77291","Le Mesnil-Amelot",72730.08312417
"77292","Messy",47431.3782284
"77293","Misy-sur-Yonne",5052.07867205
"77294","Mitry-Mory",115735.29878714
"77295","Moisenay",35246.16387823
"77296","Moissy-Cramayel",85938.65333971
"77297","Mondreville",2325.31732397
"77298","Mons-en-Montois",6207.29347896
"77299","Montarlot",18521.58374606
"77300","Montceaux-les-Meaux",29412.24862438
"77301","Montceaux-les-Provins",1225.33063502
"77302","Montcourt-Fromonville",15165.36043087
"77303","Montdauphin",1978.62225731
"77304","Montenils",745.59283367
"77305","Montereau-Fault-Yonne",16257.69044891
"77306","Montereau-sur-le-Jard",58189.06276929
"77307","Montevrain",91444.27773449
"77308","Montge-en-Goele",21130.76328187
"77309","Monthyon",28509.88450164
"77310","Montigny-le-Guesdier",2950.97898851
"77311","Montigny-Lencoup",7404.04481132
"77312","Montigny-sur-Loing",20036.46471473
"77313","Montmachoux",8873.07318765
"77314","Montolivet",1914.47544361
"77315","Montry",60130.45463597
"77316","Moret-sur-Loing",22940.02058438
"77317","Mormant",11076.27027823
"77318","Mortcerf",14335.54112583
"77319","Mortery",8588.13339445
"77320","Mouroux",18018.78361409
"77321","Mousseaux-les-Bray",3699.28438076
"77322","Moussy-le-Neuf",28334.50382504
"77323","Moussy-le-Vieux",34639.57237021
"77325","Mouy-sur-Seine",5364.57729451
"77326","Nandy",103410.19052767
"77327","Nangis",7864.41585886
"77328","Nanteau-sur-Essonne",3960.92880592
"77329","Nanteau-sur-Lunain",9015.55695357
"77330","Nanteuil-les-Meaux",51700.68683417
"77331","Nanteuil-sur-Marne",7019.41278005
"77332","Nantouillet",32958.56568346
"77333","Nemours",14569.42094431
"77335","Chauconin-Neufmontiers",42354.6606322
"77336","Neufmoutiers-en-Brie",23992.51851577
"77337","Noisiel",283512.1785759
"77338","Noisy-Rudignon",13825.67687191
"77339","Noisy-sur-Ecole",7676.46573679
"77340","Nonville",13411.05128445
"77341","Noyen-sur-Seine",3965.05554329
"77342","Obsonville",3713.69760096
"77343","Ocquerre",9014.72873238
"77344","Oissery",11223.57585006
"77345","Orly-sur-Morin",8735.59371798
"77347","Les Ormes-sur-Voulzie",6828.67953736
"77348","Ormesson",12227.69861938
"77349","Othis",19182.04799349
"77350","Ozoir-la-Ferriere",89726.19726773
"77352","Ozouer-le-Voulgis",17641.43238034
"77353","Paley",5839.9945629
"77354","Pamfou",12883.80984809
"77355","Paroy",7486.3519185
"77356","Passy-sur-Seine",3087.19753778
"77357","Pecy",4618.20906188
"77358","Penchard",39483.46790451
"77359","Perthes",30894.48683713
"77360","Pezarches",10644.73278797
"77361","Pierre-Levee",14534.40801708
"77363","Le Pin",207859.70371424
"77364","Le Plessis-aux-Bois",23028.38836446
"77365","Le Plessis-Feu-Aussoux",7257.8907375
"77366","Le Plessis-l'Eveque",24258.23356452
"77367","Le Plessis-Placy",8846.50596274
"77368","Poigny",10843.07313849
"77369","Poincy",43974.60413022
"77370","Poligny",12656.33258603
"77371","Pommeuse",17476.71016707
"77372","Pomponne",156406.48318305
"77373","Pontault-Combault",215030.88243593
"77374","Pontcarre",101845.16727489
"77376","Precy-sur-Marne",52229.48031396
"77377","Presles-en-Brie",31081.55216328
"77378","Pringy",59344.18901799
"77379","Provins",10131.89704463
"77380","Puisieux",8732.0586592
"77381","Quiers",9315.362428
"77382","Quincy-Voisins",52034.29735039
"77383","Rampillon",7009.09831327
"77384","Reau",76875.06153246
"77385","Rebais",8814.62448135
"77386","Recloses",12046.30234959
"77387","Remauville",6994.84970775
"77388","Reuil-en-Brie",12099.67657211
"77389","La Rochette",61527.25021549
"77390","Roissy-en-Brie",144248.44449929
"77391","Rouilly",8647.19116051
"77392","Rouvres",19489.9574559
"77393","Rozay-en-Brie",8668.40587959
"77394","Rubelles",63882.84695214
"77395","Rumont",3057.25555493
"77396","Rupereux",3656.73126198
"77397","Saacy-sur-Marne",9140.46487423
"77398","Sablonnieres",5761.52254544
"77399","Saint-Ange-le-Viel",5588.52874641
"77400","Saint-Augustin",16934.93268507
"77401","Sainte-Aulde",8076.4426454
"77402","Saint-Barthelemy",4786.15801896
"77403","Saint-Brice",8656.27249553
"77404","Sainte-Colombe",10905.47792068
"77405","Saint-Cyr-sur-Morin",12021.39731233
"77406","Saint-Denis-les-Rebais",11237.29321994
"77407","Saint-Fargeau-Ponthierry",71899.22739189
"77408","Saint-Fiacre",39435.29218362
"77409","Saint-Germain-Laval",14063.75197876
"77410","Saint-Germain-Laxis",44638.35814062
"77411","Saint-Germain-sous-Doue",15146.09424448
"77412","Saint-Germain-sur-Ecole",22118.77862437
"77413","Saint-Germain-sur-Morin",54286.11284906
"77414","Saint-Hilliers",5402.53732664
"77415","Saint-Jean-les-Deux-Jumeaux",20041.96620253
"77416","Saint-Just-en-Brie",4352.48998037
"77417","Saint-Leger",7786.26608701
"77418","Saint-Loup-de-Naud",9820.90686825
"77419","Saint-Mammes",25530.73999522
"77420","Saint-Mard",24522.25205381
"77421","Saint-Mars-Vieux-Maisons",4413.59930946
"77423","Saint-Martin-des-Champs",5574.25666976
"77424","Saint-Martin-du-Boschet",1574.430874
"77425","Saint-Martin-en-Biere",14598.58370398
"77426","Saint-Mery",11149.64220105
"77427","Saint-Mesmes",33685.18097626
"77428","Saint-Ouen-en-Brie",9635.27807459
"77429","Saint-Ouen-sur-Morin",10455.44095754
"77430","Saint-Pathus",12800.10406556
"77431","Saint-Pierre-les-Nemours",13742.77541242
"77432","Saint-Remy-la-Vanne",9113.39834633
"77433","Saints",14432.23598362
"77434","Saint-Sauveur-les-Bray",5836.27693991
"77435","Saint-Sauveur-sur-Ecole",40538.87963055
"77436","Saint-Simeon",11774.47919511
"77437","Saint-Soupplets",17852.92213597
"77438","Saint-Thibault-des-Vignes",169146.77893162
"77439","Salins",10981.15083299
"77440","Sammeron",14234.17769815
"77441","Samois-sur-Seine",29531.04188082
"77442","Samoreau",29437.57630734
"77443","Sancy",24304.689166
"77444","Sancy-les-Provins",1964.90681825
"77445","Savigny-le-Temple",98193.69439812
"77446","Savins",8724.71362632
"77447","Seine-Port",86510.35563169
"77448","Sept-Sorts",13449.28815215
"77449","Serris",69216.91060003
"77450","Servon",121646.2864348
"77451","Signy-Signets",13698.2191124
"77452","Sigy",6450.17346762
"77453","Sivry-Courtry",32712.71261094
"77454","Sognolles-en-Montois",6716.79554324
"77455","Soignolles-en-Brie",25975.54948704
"77456","Soisy-Bouy",9665.51601867
"77457","Solers",21825.51334312
"77458","Souppes-sur-Loing",8499.20334894
"77459","Sourdun",7448.6983288
"77460","Tancrou",11904.0596642
"77461","Thenisy",7154.40325746
"77462","Thieux",43414.8161848
"77463","Thomery",29078.36717232
"77464","Thorigny-sur-Marne",107772.26122176
"77465","Thoury-Ferottes",7315.08156163
"77466","Tigeaux",23939.72700494
"77467","La Tombe",6235.71057786
"77468","Torcy",214800.05806388
"77469","Touquin",9420.31566007
"77470","Tournan-en-Brie",27412.25236407
"77471","Tousson",6097.2616421
"77472","La Tretoire",7650.60475061
"77473","Treuzy-Levelay",11221.30297975
"77474","Trilbardou",46294.69929474
"77475","Trilport",38121.30002343
"77476","Trocy-en-Multien",13001.67972808
"77477","Ury",8522.64343895
"77478","Ussy-sur-Marne",14264.83407249
"77479","Vaires-sur-Marne",241772.85845883
"77480","Valence-en-Brie",14519.19332122
"77481","Vanville",5992.71343242
"77482","Varennes-sur-Seine",17787.54316418
"77483","Varreddes",33364.17332058
"77484","Vaucourtois",31537.41345923
"77485","Le Vaudoue",6532.93568049
"77486","Vaudoy-en-Brie",5368.24674989
"77487","Vaux-le-Penil",57171.61296142
"77489","Vaux-sur-Lunain",2836.11513289
"77490","Vendrest",6808.94731019
"77491","Veneux-les-Sablons",26529.86977578
"77492","Verdelot",2942.03318861
"77493","Verneuil-l'Etang",14247.85879839
"77494","Vernou-la-Celle-sur-Seine",23575.62376496
"77495","Vert-Saint-Denis",83907.63064105
"77496","Vieux-Champagne",4924.41818927
"77498","Vignely",53843.46516838
"77500","Villebeon",3026.99052932
"77501","Villecerf",13964.79705344
"77504","Villemarechal",6254.74630244
"77505","Villemareuil",28814.79245797
"77506","Villemer",11064.92877402
"77507","Villenauxe-la-Petite",2989.05115365
"77508","Villeneuve-le-Comte",34279.93308189
"77509","Villeneuve-les-Bordes",7000.59842386
"77510","Villeneuve-Saint-Denis",53474.47942236
"77511","Villeneuve-sous-Dammartin",41680.31140361
"77512","Villeneuve-sur-Bellot",4295.29808563
"77513","Villenoy",53377.94305938
"77514","Villeparisis",179204.38067458
"77515","Villeroy",29429.30451241
"77516","Ville-Saint-Jacques",16255.20641025
"77517","Villevaude",148394.56105685
"77518","Villiers-en-Biere",54007.90403468
"77519","Villiers-Saint-Georges",1806.70685928
"77520","Villiers-sous-Grez",11647.78951829
"77521","Villiers-sur-Morin",38467.65996654
"77522","Villiers-sur-Seine",2588.28774398
"77523","Villuis",2036.68462937
"77524","Vimpelles",5885.41516752
"77525","Vinantes",24508.34407322
"77526","Vincy-Manoeuvre",5665.717939
"77527","Voinsles",6419.52331673
"77528","Voisenon",70348.9405243
"77529","Voulangis",30080.08509304
"77530","Voulton",5874.76216346
"77531","Voulx",5279.93266305
"77532","Vulaines-les-Provins",9413.19175963
"77533","Vulaines-sur-Seine",29045.8562963
"77534","Yebles",15730.03515981
"78003","Ablis",6955.05476722
"78005","Acheres",220719.5870332
"78006","Adainville",5057.98236546
"78007","Aigremont",112897.38472151
"78009","Allainville",4762.83283931
"78010","Les Alluets-le-Roi",54034.35241127
"78013","Andelu",25021.7473238
"78015","Andresy",182034.7208748
"78020","Arnouville-les-Mantes",28506.07705698
"78029","Aubergenville",57188.8113588
"78030","Auffargis",28788.06283951
"78031","Auffreville-Brasseuil",51165.75278792
"78033","Aulnay-sur-Mauldre",42538.76876108
"78034","Auteuil",25677.8794068
"78036","Autouillet",20636.86222113
"78043","Bailly",232831.46203683
"78048","Bazainville",10568.64999205
"78049","Bazemont",49852.97360597
"78050","Bazoches-sur-Guyonne",46033.16666076
"78053","Behoust",13157.46599328
"78057","Bennecourt",14999.80200294
"78062","Beynes",38388.4584614
"78068","Blaru",5555.2723145
"78070","Boinville-en-Mantois",41049.11037094
