"ID","NAMES","agriculteurs_AsTheCrowFlies_POT_0"
"78416","Montalet-le-Bois",4
"78417","Montchauvet",4
"78418","Montesson",12
"78420","Montfort-l'Amaury",0
"78423","Montigny-le-Bretonneux",8
"78431","Morainvilliers",15
"78437","Mousseaux-sur-Seine",0
"78439","Mulcent",4
"78440","Les Mureaux",0
"78442","Neauphle-le-Chateau",0
"78443","Neauphle-le-Vieux",0
"78444","Neauphlette",12
"78451","Nezel",8
"78455","Noisy-le-Roi",8
"78460","Oinville-sur-Montcient",0
"78464","Orcemont",8
"78465","Orgerus",0
"78466","Orgeval",8
"78470","Orphin",8
"78472","Orsonville",24
"78474","Orvilliers",4
"78475","Osmoy",8
"78478","Paray-Douaville",8
"78481","Le Pecq",9
"78484","Perdreauville",8
"78486","Le Perray-en-Yvelines",0
"78490","Plaisir",3
"78497","Poigny-la-Foret",4
"78498","Poissy",15
"78499","Ponthevrard",4
"78501","Porcheville",8
"78502","Le Port-Marly",0
"78503","Port-Villez",0
"78505","Prunay-le-Temple",8
"78506","Prunay-en-Yvelines",0
"78513","La Queue-les-Yvelines",4
"78516","Raizeux",0
"78517","Rambouillet",8
"78518","Rennemoulin",0
"78520","Richebourg",4
"78522","Rochefort-en-Yvelines",0
"78524","Rocquencourt",0
"78528","Rolleboise",0
"78530","Rosay",4
"78531","Rosny-sur-Seine",0
"78536","Sailly",0
"78537","Saint-Arnoult-en-Yvelines",4
"78545","Saint-Cyr-l'Ecole",0
"78548","Saint-Forget",0
"78550","Saint-Germain-de-la-Grange",0
"78551","Saint-Germain-en-Laye",12
"78557","Saint-Hilarion",4
"78558","Saint-Illiers-la-Ville",0
"78559","Saint-Illiers-le-Bois",0
"78561","Saint-Lambert",8
"78562","Saint-Leger-en-Yvelines",12
"78564","Saint-Martin-de-Brethencourt",8
"78565","Saint-Martin-des-Champs",12
"78567","Saint-Martin-la-Garenne",0
"78569","Sainte-Mesme",0
"78571","Saint-Nom-la-Breteche",32
"78575","Saint-Remy-les-Chevreuse",8
"78576","Saint-Remy-l'Honore",4
