"ID","NAMES","cadres_AsTheCrowFlies_ACC_0.005"
"77303","Montdauphin",30165.5718052966
"77304","Montenils",32932.5367286279
"77305","Montereau-Fault-Yonne",16574.1619814724
"77306","Montereau-sur-le-Jard",7246.21103123689
"77307","Montevrain",4048.74364083457
"77308","Montge-en-Goele",10702.5833556193
"77309","Monthyon",10693.8101526118
"77310","Montigny-le-Guesdier",29687.8775626824
"77311","Montigny-Lencoup",19695.3656690434
"77312","Montigny-sur-Loing",11336.0176659546
"77313","Montmachoux",20179.768387422
"77314","Montolivet",30654.0184726645
"77315","Montry",5857.93394913138
"77316","Moret-sur-Loing",11255.0637268622
"77317","Mormant",14197.2109145996
"77318","Mortcerf",10689.4945472257
"77319","Mortery",25859.5213191639
"77320","Mouroux",13968.7910249948
"77321","Mousseaux-les-Bray",28371.5575391143
"77322","Moussy-le-Neuf",10120.791341214
"77323","Moussy-le-Vieux",9218.3075009398
"77325","Mouy-sur-Seine",28323.5848797752
"77326","Nandy",5203.2072523558
"77327","Nangis",18102.4900575012
"77328","Nanteau-sur-Essonne",17642.8953763109
"77329","Nanteau-sur-Lunain",17921.698812169
"77330","Nanteuil-les-Meaux",8021.09309814383
"77331","Nanteuil-sur-Marne",22235.9921702696
"77332","Nantouillet",8822.10629033463
"77333","Nemours",16867.8564183009
"77335","Chauconin-Neufmontiers",8808.00390828939
"77336","Neufmoutiers-en-Brie",8725.62480752012
"77337","Noisiel",2747.79404873159
"77338","Noisy-Rudignon",16943.476706135
"77339","Noisy-sur-Ecole",13441.3302456126
"77340","Nonville",14805.3837320002
"77341","Noyen-sur-Seine",32201.3075481696
"77342","Obsonville",21650.610613018
"77343","Ocquerre",17577.2146287639
"77344","Oissery",13872.8824430693
"77345","Orly-sur-Morin",20837.2273479461
"77347","Les Ormes-sur-Voulzie",26925.7320261701
"77348","Ormesson",18560.1384724512
"77349","Othis",11610.8874638535
"77350","Ozoir-la-Ferriere",5329.16032285768
"77352","Ozouer-le-Voulgis",10746.9427690862
"77353","Paley",19844.0663149502
"77354","Pamfou",12081.3449240257
"77355","Paroy",25591.4320359206
"77356","Passy-sur-Seine",32845.2940133539
"77357","Pecy",19330.2872527673
"77358","Penchard",10061.2822451137
"77359","Perthes",8520.83926540916
"77360","Pezarches",14390.5922225523
"77361","Pierre-Levee",12460.6398408534
